code_family,p,n,code_size,mean_work,p95_work,mean_reference_work,mean_speedup,p05_speedup,completion_fraction,exact_fraction,median_candidate_score_speedup,median_membership_fraction,p99_membership_fraction,median_histories,p99_histories,mean_wall_seconds,mean_reference_wall_seconds,mean_wall_speedup,median_wall_speedup
random_linear,0.02,12,512,230.87666666666664,913.9399999999998,37529.6,420.3287942577104,41.08808247858634,1.0,1.0,512.0,0.01171875,0.203125,12.0,157.0,0.0001455539100182553,0.0003118157968856394,3.6352446360199493,4.256258883053423
random_linear,0.02,16,4096,380.33125,1400.06,489471.99999999994,3491.372648492954,349.6085890909672,1.0,1.0,4096.0,0.00244140625,0.02850830078125,16.0,269.32,0.0002069760715433707,0.0025655221106717363,21.20823334356019,23.919703459822028
random_linear,0.02,20,32768,461.28125,1970.35,5796659.199999999,36567.414136905914,2941.954404369828,1.0,1.0,32768.0,0.0003509521484375,0.00548095703125,19.0,398.0,0.00030888825858710334,0.025198786010150798,120.45338504259519,136.96012103311494
random_linear,0.02,24,262144,878.29375,3068.305,64356351.99999999,290774.908786493,21069.91549427858,1.0,1.0,262144.0,5.340576171875e-05,0.0010945129394531248,25.0,571.96,0.00044186710147187114,0.282288446003804,1078.7568885268272,1278.1604888142324
random_linear,0.05,12,512,200.83166666666665,796.9449999999997,37529.6,401.67367473162835,47.24231790547746,1.0,1.0,256.0,0.013671875,0.15839843750000002,12.0,145.0,0.000129751597220699,0.000311065911470602,3.6167903263129384,3.6480394198025654
random_linear,0.05,16,4096,394.2479166666667,1235.315,489471.99999999994,3480.5904581774685,396.33177434610093,1.0,1.0,2048.0,0.002197265625,0.030410156249999997,16.0,265.64,0.00021752748095119992,0.0025732668388324478,19.61098575948873,22.11895500661171
random_linear,0.05,20,32768,1172.890625,2177.925,5796659.199999999,21291.989074350437,2661.585664129214,1.0,1.0,12288.0,0.003173828125,0.00710296630859375,341.0,418.0,0.0006266580312512815,0.027378487429814413,70.96519431623032,38.82461528152569
random_linear,0.05,24,262144,2041.1749999999997,6380.434999999998,64356351.99999999,177915.7178281979,11860.001489766506,1.0,1.0,262144.0,0.0002231597900390625,0.0027499389648437495,109.0,1393.3599999999997,0.0008237489964812994,0.2689358155184891,685.7626702856826,713.0329338930604
