code_family,p,algorithm,n,size,rate,exact_fraction,completion_fraction,mean_speedup,p05_speedup,median_candidate_score_speedup,median_membership_fraction,p99_membership_fraction,mean_wall_speedup,median_wall_speedup
crc_like,0.05,HISTORY_L0,16,4096,0.75,1.0,1.0,516.1763483787865,449.066323698391,4096.0,0.003662109375,0.004150390625,2.334021950385423,2.358926831721747
crc_like,0.05,PREFIX_L2,16,4096,0.75,1.0,1.0,547.0410914363212,175.7315648442269,4096.0,0.000244140625,0.000244140625,0.9668138832855645,1.0968519020433387
hamming,0.05,HISTORY_L0,15,2048,0.7333333333333333,1.0,1.0,175.46901349620217,21.630962022843843,1024.0,0.0078125,0.077802734375,1.0718874229869944,1.3716934868688444
hamming,0.05,PREFIX_L2,15,2048,0.7333333333333333,1.0,1.0,162.01332750063222,57.053067280456595,2048.0,0.00048828125,0.00048828125,0.3568310269910344,0.2692297550055879
random_linear,0.05,HISTORY_L0,16,4096,0.75,1.0,1.0,385.5436368836194,38.56710269272996,2048.0,0.0040283203125,0.0432958984375,1.73522183696255,1.897572959544561
random_linear,0.05,PREFIX_L2,16,4096,0.75,1.0,1.0,252.1992130079678,95.37971811072806,4096.0,0.000244140625,0.00046142578125000014,0.4556566698416351,0.43989912170314416
varshamov_tenengolts,0.05,HISTORY_L0,15,2048,0.7333333333333333,1.0,1.0,266.20251182209876,244.64866148497416,2048.0,0.00732421875,0.0077587890625,1.695641729988777,1.7526473924310926
