code_family,p,algorithm,n,code_size,code_rate,mean_work,median_work,p95_work,p99_work,mean_reference_work,mean_speedup,median_speedup,p05_speedup,completion_fraction,exact_fraction,median_candidate_score_speedup,median_membership_fraction,p99_membership_fraction,median_histories,p99_histories,median_prefix_nodes,mean_wall_seconds,mean_reference_wall_seconds,mean_wall_speedup,median_wall_speedup
crc_like,0.02,HISTORY_L0,12,512,0.75,196.04,200.7,234.0,243.76,14233.6,75.25336159849894,70.91978076731439,60.827350427350424,1.0,1.0,256.0,0.0224609375,0.025390625,21.0,24.0,0.0,0.00010713181982282549,0.00010920204513240606,1.042993601217939,0.9587595364102248
crc_like,0.02,HISTORY_L0,16,4096,0.75,318.54375,323.95000000000005,372.84,383.4,154009.59999999998,490.1086652400799,475.4271425873292,413.34146382965554,1.0,1.0,2048.0,0.0037841796875,0.004150390625,29.0,32.0,0.0,0.0001877835275081452,0.0003839673081529327,2.176213122764005,2.154215231105811
crc_like,0.02,HISTORY_L0,20,32768,0.75,2274.03,488.45,8076.28,8370.856,1553203.1999999997,2460.8879244069594,3179.9851829683103,192.33683204547285,1.0,1.0,24576.0,0.000640869140625,0.0102947998046875,40.0,716.78,0.0,0.0007615021953824907,0.002980119735002518,9.951202018505592,12.048953913282642
crc_like,0.02,HISTORY_L0,24,262144,0.75,1667.2099999999998,663.05,6253.344999999988,9892.909000000001,14994636.8,20865.850798049047,22615.56878488205,10501.600203796794,1.0,1.0,131072.0,9.1552734375e-05,0.0013867187500000001,46.0,759.6200000000001,0.0,0.0006240751943551003,0.05441657399060205,147.19831579131284,162.54992162038974
crc_like,0.02,PREFIX_L0,12,512,0.75,248.62124999999997,215.05,450.76249999999993,506.84049999999996,14233.6,70.29097319632486,66.18739827946987,31.581551207110326,1.0,1.0,512.0,0.005859375,0.018007812499999998,0.0,0.0,27.0,0.0003228073270292953,0.00010920204513240606,0.40832913784507185,0.37883637435279155
crc_like,0.02,PREFIX_L0,16,4096,0.75,554.8421875,413.95000000000005,1156.395,1327.7615000000003,154009.59999999998,386.00887450490643,372.10093649795783,133.39764582844745,1.0,1.0,4096.0,0.0009765625,0.0033422851562500003,0.0,0.0,42.5,0.0007634254798176698,0.0003839673081529327,0.67876803498367,0.6416447420678217
crc_like,0.02,PREFIX_L0,20,32768,0.75,2565.2875,1857.85,5827.435000000002,8608.806999999995,1553203.1999999997,973.852118055887,838.4025368126378,269.7616783916634,1.0,1.0,32768.0,0.0004425048828125,0.0023330688476562484,0.0,0.0,166.0,0.002971174247795716,0.002980119735002518,1.6296107538885998,1.4072548462720864
crc_like,0.02,PREFIX_L0,24,262144,0.75,2643.6699999999996,1792.05,5679.309999999997,6834.622,14994636.8,8305.145508779906,8442.212690260769,2881.584304111089,1.0,1.0,262144.0,3.814697265625e-05,0.00012210845947265627,0.0,0.0,135.0,0.002852434490341693,0.05441657399060205,27.827960692824036,27.135872717899872
crc_like,0.02,PREFIX_L2,12,512,0.75,196.1225,172.14999999999998,321.4349999999999,372.3419999999999,14233.6,83.37548527503495,82.68149411269374,44.29801036720868,1.0,1.0,512.0,0.001953125,0.003144531249999999,0.0,0.0,22.0,0.000256977483513765,0.00010920204513240606,0.4850133157228079,0.47831267541462175
crc_like,0.02,PREFIX_L2,16,4096,0.75,402.69999999999993,311.3,778.0299999999999,937.4210000000002,154009.59999999998,485.16441791530633,494.7350925238337,199.61898104573436,1.0,1.0,4096.0,0.000244140625,0.0004125976562500003,0.0,0.0,33.0,0.0005630481464322656,0.0003839673081529327,0.8705840205016577,0.8835991442344202
