t,p,n,median_log2_bound_per_n,p95_log2_bound_per_n,median_excess_over_h2,p95_excess_over_h2,all_inequalities
1,0.02,16,0.3125,0.5625,0.17105945745817933,0.4210594574581793,True
1,0.02,24,0.2327067708633815,0.570779361115431,0.09126622832156084,0.42933881857361034,True
1,0.02,32,0.1875,0.46740943879882146,0.046059457458179326,0.32596889625700076,True
1,0.02,48,0.25354010419671485,0.43056482379322975,0.11209956165489418,0.2891242812514091,True
1,0.02,64,0.28090617763457754,0.4106534945253587,0.13946563509275686,0.269212951983538,True
1,0.02,96,0.2573997497000466,0.34847469080079874,0.11595920715822591,0.20703414825897806,True
1,0.05,16,0.3125,0.7519635203426839,0.026103042884043748,0.4655665632267276,True
1,0.05,24,0.570779361115431,0.7915583346945622,0.2843824039994748,0.5051613775786059,True
1,0.05,32,0.46740943879882146,0.739214367318981,0.1810124816828652,0.4528174102030248,True
1,0.05,48,0.43056482379322975,0.6282624808891758,0.1441678666772735,0.34186552377321955,True
1,0.05,64,0.4106534945253587,0.5660658608308792,0.12425653740940246,0.2796689037149229,True
1,0.05,96,0.38935624290930665,0.4982920804960671,0.1029592857933504,0.21189512338011085,True
1,0.1,16,0.7449289523296622,1.0794664392440234,0.27593335874038094,0.6104708456547422,True
1,0.1,24,0.6910401041967149,0.9473171755344841,0.2220445106074337,0.4783215819452029,True
1,0.1,32,0.6610596321336619,0.8677622224470077,0.1920640385443807,0.3987666288577265,True
1,0.1,48,0.6282624808891758,0.776910443380861,0.15926688729989458,0.3079148497915798,True
1,0.1,64,0.5660658608308792,0.7263964238606557,0.09707026724159795,0.2574008302713745,True
1,0.1,96,0.5617902885074942,0.6973939694513465,0.09279469491821302,0.22839837586206527,True
2,0.02,16,0.8008613244510648,0.9771756906357324,0.6594207819092441,0.8357351480939117,True
2,0.02,24,0.6096702672014659,0.759925963248235,0.4682297246596452,0.6184854207064143,True
2,0.02,32,0.4971372693991797,0.7218192868641803,0.355696726857359,0.5803787443223596,True
2,0.02,48,0.4628965861713668,0.6165156173161433,0.32145604362954616,0.47507507477432265,True
2,0.02,64,0.3735858543041922,0.5053805149627839,0.23214531176237155,0.3639399724209632,True
2,0.02,96,0.37249003422528665,0.49505957712848625,0.23104949168346597,0.35361903458666555,True
2,0.05,16,0.9771756906357324,1.1114629713858448,0.6907787335197761,0.8250660142698886,True
2,0.05,24,0.7540503809812639,0.9692333926202022,0.4676534238653076,0.682836435504246,True
2,0.05,32,0.7218192868641803,0.9532919151486828,0.43542232974822404,0.6668949580327266,True
2,0.05,48,0.6165156173161433,0.7933550535432881,0.3301186602001871,0.5069580964273318,True
2,0.05,64,0.5582855825540392,0.7417693425327904,0.2718886254380829,0.4553723854168341,True
2,0.05,96,0.49505957712848625,0.5991670161011882,0.20866262001253,0.3127700589852319,True
2,0.1,16,1.1114629713858448,1.291803580686913,0.6424673777965636,0.8228079870976318,True
2,0.1,24,0.9692333926202022,1.175278330840533,0.500237799030921,0.7062827372512518,True
2,0.1,32,0.8099020757873369,1.0142054878141475,0.34090648219805564,0.5452098942248663,True
2,0.1,48,0.7933550535432881,0.9640198900641711,0.32435945995400683,0.4950242964748899,True
2,0.1,64,0.7417693425327904,0.8488426907005555,0.27277374894350914,0.3798470971112743,True
2,0.1,96,0.6576979464080558,0.807252628746897,0.18870235281877457,0.33825703515761574,True
