n,k,rate,p,trial,certified,error_weight,histories,membership_queries,membership_fraction,wall,theorem_history_bound,observed_below_theorem_bound
16,12,0.75,0.02,0,True,0,428,124,0.0302734375,0.007335340022109449,7200,True
16,12,0.75,0.02,1,True,0,456,131,0.031982421875,0.006374549935571849,7200,True
16,12,0.75,0.02,2,True,0,456,131,0.031982421875,0.006684290012344718,7200,True
16,12,0.75,0.02,3,True,1,456,131,0.031982421875,0.008243483025580645,50880,True
16,12,0.75,0.02,4,True,0,428,124,0.0302734375,0.005612562992610037,7200,True
16,12,0.75,0.02,5,True,0,456,131,0.031982421875,0.006651967065408826,7200,True
16,12,0.75,0.05,0,True,1,476,136,0.033203125,0.01007125189062208,50880,True
16,12,0.75,0.05,1,True,0,1320,450,0.10986328125,0.021743940887972713,7200,True
16,12,0.75,0.05,2,True,1,464,133,0.032470703125,0.008624339941889048,50880,True
16,12,0.75,0.05,3,True,0,472,135,0.032958984375,0.008088294067420065,7200,True
16,12,0.75,0.05,4,True,5,468,134,0.03271484375,0.007783027016557753,3108480,True
16,12,0.75,0.05,5,True,1,480,137,0.033447265625,0.010360296000726521,50880,True
20,15,0.75,0.02,0,True,0,712,199,0.006072998046875,0.012541188974864781,14440,True
20,15,0.75,0.02,1,True,3,756,210,0.00640869140625,0.012449841015040874,3076480,True
20,15,0.75,0.02,2,True,1,744,207,0.006317138671875,0.013045653002336621,130720,True
20,15,0.75,0.02,3,True,1,712,199,0.006072998046875,0.007923352997750044,130720,True
20,15,0.75,0.05,0,True,0,736,205,0.006256103515625,0.009650280931964517,14440,True
20,15,0.75,0.05,1,True,2,748,208,0.00634765625,0.010583289084024727,750880,True
20,15,0.75,0.05,2,True,1,5008,1356,0.0413818359375,0.07142080599442124,130720,True
20,15,0.75,0.05,3,True,1,752,209,0.006378173828125,0.009308181004598737,130720,True
24,18,0.75,0.02,0,True,1,980,270,0.00102996826171875,0.023022960987873375,280416,True
24,18,0.75,0.02,1,True,0,15800,3556,0.0135650634765625,0.17367651290260255,25392,True
24,18,0.75,0.02,2,True,0,1104,301,0.001148223876953125,0.015046296990476549,25392,True
24,18,0.75,0.05,0,True,1,18352,4163,0.015880584716796875,0.23993051797151566,280416,True
24,18,0.75,0.05,1,True,1,20112,4501,0.017169952392578125,0.26395871897693723,280416,True
24,18,0.75,0.05,2,True,1,16504,3742,0.01427459716796875,0.2154186989646405,280416,True
