family,p,fiber_wall_log2_slope,trellis_wall_log2_slope,prefix_wall_log2_slope,best_baseline_wall_log2_slope,fiber_work_log2_slope,trellis_work_log2_slope,prefix_work_log2_slope
crc_like,0.02,0.1543986282613054,0.3320043516385316,0.15059980647882854,0.15059980647882854,0.18291343763019124,0.3248414842127629,0.15534042939299417
crc_like,0.05,0.44952120838555537,0.3355426276392128,0.38148390482641414,0.37895720951418493,0.4715390221372736,0.32370660133232265,0.37345288201841625
crc_like,0.1,0.48500366378865467,0.33288888904651637,0.37606581536713596,0.3543414466637991,0.5233937309587948,0.32812940239476146,0.3976263924166378
random_linear,0.02,0.07089654978964988,0.3309192660182177,0.16747578102121652,0.16747578102121652,0.1054398913142914,0.31980342338975665,0.176997707059516
random_linear,0.05,0.39014258736816454,0.3332977824239748,0.367462496070934,0.367462496070934,0.4193252771578027,0.3193387782494115,0.35333731566613064
random_linear,0.1,0.3017631229296723,0.3259035650829648,0.2901030504333227,0.2901030504333227,0.2985857383317846,0.2938404911649384,0.2880354699181634
