family,p,n,trials,agreement_fraction,fiber_completion_fraction,trellis_completion_fraction,prefix_completion_fraction,median_fiber_wall,median_trellis_wall,median_prefix_wall,median_best_baseline_wall,median_fiber_over_trellis_wall,median_fiber_over_prefix_wall,median_fiber_over_best_wall,p95_fiber_over_best_wall,median_best_over_fiber_wall,median_fiber_work,median_trellis_work,median_prefix_work,median_best_baseline_work,median_fiber_histories,p99_fiber_histories,median_fiber_membership_queries,median_trellis_dp_updates,median_trellis_nodes,median_prefix_nodes
crc_like,0.1,28,6,1.0,1.0,1.0,1.0,0.009525986504741013,0.05861049651866779,0.011881228536367416,0.011881228536367416,0.16953875447043326,0.6407584905254327,0.6407584905254327,0.8440362279313324,1.60187018117358,17475.375,35663.1,3727.125,3727.125,866.0,1541.0,414.5,200704.0,1948.0,321.5
crc_like,0.1,32,4,1.0,1.0,1.0,1.0,0.2559289495111443,0.1614255839958787,0.2137460290105082,0.15816279198043048,1.5760412811042226,0.9688636289355,1.5760412811042226,1.7798558679188405,0.6345031726822619,500821.60000000003,109560.09999999999,65954.67499999999,65954.67499999999,25298.0,29920.1,10930.0,524288.0,15109.0,6060.0
random_linear,0.02,16,12,1.0,1.0,1.0,1.0,0.0004754330147989094,0.003329234488774091,0.0012768685119226575,0.0012768685119226575,0.15502232523247927,0.425190286574489,0.425190286574489,0.8061185834323941,2.3519277240216767,591.1500000000001,2365.95,437.5,437.5,30.0,405.80000000000024,16.0,8192.0,535.5,43.5
random_linear,0.02,20,10,1.0,1.0,1.0,1.0,0.0007406849763356149,0.00886673096101731,0.0031157329794950783,0.0031157329794950783,0.08611758666611256,0.24323294875814133,0.24323294875814133,0.7568344935284237,4.138055227697127,889.875,5885.4,910.625,910.625,39.0,665.48,20.5,25600.0,968.0,87.5
random_linear,0.02,24,8,1.0,1.0,1.0,1.0,0.000736187444999814,0.02154053858248517,0.0038479805225506425,0.0038479805225506425,0.035461604176779446,0.20172571281249202,0.20172571281249202,0.5354815982542247,4.977684134660077,1389.8999999999999,14071.899999999998,1276.1999999999998,1276.1999999999998,46.0,48.0,24.0,73728.0,1346.0,104.0
random_linear,0.02,28,6,1.0,1.0,1.0,1.0,0.0007862015045247972,0.05323758546728641,0.007639365503564477,0.007639365503564477,0.014598326050676952,0.15268268336933316,0.15268268336933316,0.5857296592526087,7.035138101426917,1525.9,33941.924999999996,2711.6,2711.6,56.0,1287.2000000000003,29.0,200704.0,1889.0,223.0
random_linear,0.02,32,4,1.0,1.0,1.0,1.0,0.0012330450117588043,0.13349022949114442,0.008311938494443893,0.008311938494443893,0.00806825524762323,0.23469362824658135,0.23469362824658135,0.41214195109047014,4.285118701663452,1947.2000000000003,82972.425,2948.95,2948.95,62.0,1747.8599999999997,32.0,524288.0,2085.5,205.0
random_linear,0.05,16,12,1.0,1.0,1.0,1.0,0.00046488147927448153,0.003256120951846242,0.0021895895479246974,0.0021895895479246974,0.14412406188507898,0.41058519129627374,0.42216113179591763,0.8867793567920431,2.3878573012714046,693.3000000000001,2640.7749999999996,739.0999999999999,739.0999999999999,32.0,388.70000000000005,17.0,8192.0,570.5,77.0
random_linear,0.05,20,10,1.0,1.0,1.0,1.0,0.0005775539902970195,0.008144604042172432,0.0016681849956512451,0.0016681849956512451,0.06968017922740682,0.4561502384630757,0.4561502384630757,0.571459534659281,2.2251088299253077,888.675,5483.625,586.275,586.275,36.0,627.8600000000001,19.0,25600.0,778.0,43.5
random_linear,0.05,24,8,1.0,1.0,1.0,1.0,0.0007012069690972567,0.02164851501584053,0.0032696009729988873,0.0032696009729988873,0.03302326509725778,0.3130081613654778,0.3461569354343409,0.5637053986509813,2.9020524346944345,1131.6,14004.699999999999,1223.85,1223.85,48.0,1053.56,25.0,73728.0,1476.0,98.0
random_linear,0.05,28,6,1.0,1.0,1.0,1.0,0.01532325753942132,0.054996615974232554,0.03434211597777903,0.03434211597777903,0.27501798817243384,0.35904787283070183,0.35904787283070183,0.6621877952521085,2.7854894060662696,26989.475,36695.075,9693.375,9693.375,1460.0,1514.0,689.0,200704.0,2387.0,952.0
random_linear,0.05,32,4,1.0,1.0,1.0,1.0,0.02015372907044366,0.12723896646639332,0.07868935097940266,0.07868935097940266,0.18167241967785924,0.4999526312275224,0.4999526312275224,1.4836040217753923,2.616977589239479,42100.3,85422.525,24367.949999999997,24367.949999999997,2017.0,23698.399999999994,967.0,524288.0,3020.5,2203.0
random_linear,0.1,16,12,1.0,1.0,1.0,1.0,0.0016485670348629355,0.0037738890387117863,0.002739000541623682,0.002739000541623682,0.3730189395292105,0.5389562133697197,0.571141114294895,0.7543976809512289,1.7578257191755984,2871.6,3417.7999999999997,780.5500000000001,780.5500000000001,167.0,442.1,88.5,8192.0,731.5,98.0
random_linear,0.1,20,10,1.0,1.0,1.0,1.0,0.0026931114844046533,0.008698213030584157,0.004647796507924795,0.004647796507924795,0.32913751658996127,0.5642573852136408,0.5642573852136408,0.6956902190861343,1.7752757011323927,5257.25,6808.674999999999,1485.35,1485.35,325.0,606.58,160.5,25600.0,1078.5,164.5
random_linear,0.1,24,8,1.0,1.0,1.0,1.0,0.00895239453529939,0.02544677851255983,0.011165937001351267,0.011165937001351267,0.35132905164926054,0.674557539752099,0.674557539752099,0.9760232386597772,1.5098740579233256,12279.75,15602.3,2813.1,2813.1,692.0,1106.0,335.5,73728.0,1592.0,265.5
random_linear,0.1,28,6,1.0,1.0,1.0,1.0,0.01443831849610433,0.05424073099857196,0.03403035050723702,0.03403035050723702,0.26545601216531345,0.4362157711902559,0.4362157711902559,0.7966769010091618,2.2955350131564365,26727.825,35434.425,8958.575,8958.575,1487.0,1565.3,700.5,200704.0,2138.5,872.5
random_linear,0.1,32,4,1.0,1.0,1.0,1.0,0.04669501294847578,0.13850847748108208,0.05647768150083721,0.05647768150083721,0.344369371838408,0.9766549737879207,0.9766549737879207,1.2723110487729397,1.0414941397107347,79925.75000000001,88036.2,17232.25,17232.25,3908.0,20201.599999999995,2023.5,524288.0,3989.5,1524.0
