family,p,n,trials,agreement_fraction,fiber_completion_fraction,trellis_completion_fraction,prefix_completion_fraction,median_fiber_wall,median_trellis_wall,median_prefix_wall,median_best_baseline_wall,median_fiber_over_trellis_wall,median_fiber_over_prefix_wall,median_fiber_over_best_wall,p95_fiber_over_best_wall,median_best_over_fiber_wall,median_fiber_work,median_trellis_work,median_prefix_work,median_best_baseline_work,median_fiber_histories,p99_fiber_histories,median_fiber_membership_queries,median_trellis_dp_updates,median_trellis_nodes,median_prefix_nodes
crc_like,0.02,16,12,1.0,1.0,1.0,1.0,0.00040495052235201,0.0033429079921916127,0.0012032634695060551,0.0012032634695060551,0.11559914284388043,0.3793321840111069,0.3793321840111069,0.6743348720761171,2.7131382811860005,560.45,2483.0,472.65,472.65,30.0,379.10000000000025,16.0,8192.0,601.5,49.0
crc_like,0.02,20,10,1.0,1.0,1.0,1.0,0.0006512094987556338,0.008889617980457842,0.0032271909876726568,0.0032271909876726568,0.07673012180905539,0.44386270517617804,0.5071406049777124,0.6840607400794756,1.9721454772207707,979.4499999999999,5639.700000000001,1072.35,1072.35,39.0,720.58,20.5,25600.0,806.0,110.0
crc_like,0.02,24,8,1.0,1.0,1.0,1.0,0.0006545904325321317,0.022474843950476497,0.00218046095687896,0.00218046095687896,0.027236533648583777,0.31428004126018344,0.31428004126018344,0.5808012365818515,3.3940429249292654,1067.0,15121.8,991.4,991.4,45.0,48.0,23.5,73728.0,2146.0,70.5
crc_like,0.02,28,6,1.0,1.0,1.0,1.0,0.0067422614665701985,0.05233843345195055,0.014880632457789034,0.014880632457789034,0.12399951286323238,0.4208560262210326,0.4208560262210326,0.54182357259493,2.4916309806270927,13544.625,35452.55,4955.85,4955.85,704.0,1457.3,332.5,200704.0,2140.5,460.5
crc_like,0.02,32,4,1.0,1.0,1.0,1.0,0.0010701185674406588,0.13741083652712405,0.004520261427387595,0.004520261427387595,0.007812909139713482,0.24130865564996712,0.24130865564996712,0.48810492721412896,4.271936015790642,1902.8000000000002,89437.9,1894.05,1894.05,61.0,62.0,31.5,524288.0,5997.0,110.0
crc_like,0.05,16,12,1.0,1.0,1.0,1.0,0.0003564460203051567,0.0033411509939469397,0.0013480884372256696,0.0013480884372256696,0.11509757365207232,0.31297223014567266,0.31297223014567266,0.41391785028171035,3.1951754026982546,495.1,2576.325,488.54999999999995,488.54999999999995,30.0,32.0,16.0,8192.0,633.0,52.0
crc_like,0.05,20,10,1.0,1.0,1.0,1.0,0.0030102795572020113,0.009730144462082535,0.0063670415547676384,0.0063670415547676384,0.2488501305179672,0.48907068432131984,0.49628306277079437,0.8009394437008339,2.0565579770509905,5145.35,7443.425,1592.9499999999998,1592.9499999999998,306.0,686.0,146.5,25600.0,1345.0,177.5
crc_like,0.05,24,8,1.0,1.0,1.0,1.0,0.0007822145125828683,0.02479038800811395,0.003110983525402844,0.003110983525402844,0.03556887012744138,0.47009617442995155,0.47009617442995155,0.6156721219105648,2.1688366652383766,1260.3999999999999,16042.399999999998,1198.9,1198.9,46.0,1053.56,24.0,73728.0,2466.0,96.0
crc_like,0.05,28,6,1.0,1.0,1.0,1.0,0.012524753517936915,0.05142801447072998,0.02349828404840082,0.02349828404840082,0.2467575796068674,0.40199053415786357,0.42136745571189727,0.6549884667366959,2.377415489581171,26335.65,37803.725,7257.4,7257.4,1406.0,2899.1000000000004,660.5,200704.0,2671.5,695.0
crc_like,0.05,32,4,1.0,1.0,1.0,1.0,0.08887915953528136,0.1522382500115782,0.13897321850527078,0.13418961100978777,0.5840501611060577,0.6138049523953119,0.7023095818360617,1.8846708851875418,1.767358686732757,151034.5,101631.35,40553.65,40553.65,7628.0,29445.799999999996,3571.0,524288.0,12440.5,3704.0
crc_like,0.1,16,12,1.0,1.0,1.0,1.0,0.0005358170019462705,0.0036810210440307856,0.0018288734718225896,0.0018288734718225896,0.1399681950961421,0.47478951351344056,0.48972074839559054,0.8690934660113253,2.0644548519747525,688.5,2708.225,461.7,461.7,32.0,238.70000000000002,17.0,8192.0,714.5,46.5
crc_like,0.1,20,10,1.0,1.0,1.0,1.0,0.003141157969366759,0.011056098504923284,0.004808465542737395,0.004808465542737395,0.25391441758442934,0.6140365521480167,0.6159655901628189,0.8480366581667598,1.6262651357536337,4609.950000000001,6532.55,1239.5,1239.5,268.0,720.58,140.5,25600.0,1032.5,131.5
crc_like,0.1,24,8,1.0,1.0,1.0,1.0,0.015898726996965706,0.02399880555458367,0.029166825057473034,0.022058931994251907,0.6295000300939003,0.7342590522797594,0.9288552448133701,1.9426172528282206,1.0847085384657345,30945.15,19397.399999999998,8428.05,8428.05,1658.0,7446.6399999999985,860.5,73728.0,2966.5,945.5
