metric,n,kind,value,label_u,label_v,u_prefix,v_prefix
LZ78_FIXED_BLOCK,32,upper,-27.0,period_3,bernoulli_0.05_1,00100100100100100100100100100100,00000000000000000000100000000000
LZ78_FIXED_BLOCK,32,inverse_u,-27.0,period_7,bernoulli_0.05_1,10101011010101101010110101011010,00000000000000000000100000000000
LZ78_FIXED_BLOCK,32,inverse_v,-27.0,bernoulli_0.05_1,period_7,00000000000000000000100000000000,10101011010101101010110101011010
CTW_D1,32,upper,3.641042061890623,alternating10,period_5,10101010101010101010101010101010,11101111011110111101111011110111
CTW_D1,32,inverse_u,1.3028513968162994,alternating01,ones,01010101010101010101010101010101,11111111111111111111111111111111
CTW_D1,32,inverse_v,1.3028513968162994,ones,alternating01,11111111111111111111111111111111,01010101010101010101010101010101
CTW_D2,32,upper,9.93372145277922,alternating10,period_3,10101010101010101010101010101010,00100100100100100100100100100100
CTW_D2,32,inverse_u,3.068954022968885,period_3,ones,00100100100100100100100100100100,11111111111111111111111111111111
CTW_D2,32,inverse_v,3.068954022968885,ones,period_3,11111111111111111111111111111111,00100100100100100100100100100100
LZ78_FIXED_BLOCK,64,upper,-43.0,hill_u_1,hill_v_1,0000000011111111111111101111111111101111011001101110111100000000,1111111111111111111011111111111111111111111111111011111110111111
LZ78_FIXED_BLOCK,64,inverse_u,-51.0,zeros,zeros,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
LZ78_FIXED_BLOCK,64,inverse_v,-51.0,zeros,zeros,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
CTW_D1,64,upper,11.758324193822844,alternating10,bernoulli_0.10_3,1010101010101010101010101010101010101010101010101010101010101010,0100000000000000100001000000100000010000000000010000100000000000
CTW_D1,64,inverse_u,1.781852384295739,alternating01,ones,0101010101010101010101010101010101010101010101010101010101010101,1111111111111111111111111111111111111111111111111111111111111111
CTW_D1,64,inverse_v,1.781852384295739,ones,alternating01,1111111111111111111111111111111111111111111111111111111111111111,0101010101010101010101010101010101010101010101010101010101010101
CTW_D2,64,upper,32.22944409011707,alternating10,period_3,1010101010101010101010101010101010101010101010101010101010101010,0110110110110110110110110110110110110110110110110110110110110110
CTW_D2,64,inverse_u,2.704475010942325,period_5,ones,0011100111001110011100111001110011100111001110011100111001110011,1111111111111111111111111111111111111111111111111111111111111111
CTW_D2,64,inverse_v,2.704475010942325,ones,period_5,1111111111111111111111111111111111111111111111111111111111111111,0011100111001110011100111001110011100111001110011100111001110011
LZ78_FIXED_BLOCK,128,upper,-72.0,hill_u_3,hill_v_3,00100010101000101010001010100010101001101010001010100011101000101010001010100010101000101010001010100010101000101010001010100010,00000000000100000000000000000001000000000000000000000000000001010110000000000000000000000000000000000000000000000100000000000001
LZ78_FIXED_BLOCK,128,inverse_u,-74.0,period_8,alternating01,10100010101000101010001010100010101000101010001010100010101000101010001010100010101000101010001010100010101000101010001010100010,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101
