metric,n,kind,value,label_u,label_v,u_prefix,v_prefix
LZ78_FIXED_BLOCK,128,inverse_v,-74.0,alternating01,period_8,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,10100010101000101010001010100010101000101010001010100010101000101010001010100010101000101010001010100010101000101010001010100010
CTW_D1,128,upper,26.505165681032082,alternating10,bernoulli_0.10_7,10101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010,00001000000000000000000000000000010000100001000000000000000000000000000010000000000000000001000000101001000100000000000100000010
CTW_D1,128,inverse_u,4.036781013769257,period_8,alternating10,10100010101000101010001010100010101000101010001010100010101000101010001010100010101000101010001010100010101000101010001010100010,10101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010
CTW_D1,128,inverse_v,4.036781013769257,alternating10,period_8,10101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010,10100010101000101010001010100010101000101010001010100010101000101010001010100010101000101010001010100010101000101010001010100010
CTW_D2,128,upper,16.990745682547274,bernoulli_0.10_7,alternating10,00001000000000000000000000000000010000100001000000000000000000000000000010000000000000000001000000101001000100000000000100000010,10101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010
CTW_D2,128,inverse_u,4.566610871859666,period_8,alternating10,10100010101000101010001010100010101000101010001010100010101000101010001010100010101000101010001010100010101000101010001010100010,10101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010
CTW_D2,128,inverse_v,4.566610871859666,alternating10,period_8,10101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010,10100010101000101010001010100010101000101010001010100010101000101010001010100010101000101010001010100010101000101010001010100010
LZ78_FIXED_BLOCK,256,upper,-97.0,period_5,single_burst_0.50,10000100001000010000100001000010000100001000010000100001000010000100001000010000100001000010000100001000010000100001000010000100,00000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111
LZ78_FIXED_BLOCK,256,inverse_u,-130.0,zeros,zeros,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
LZ78_FIXED_BLOCK,256,inverse_v,-130.0,zeros,zeros,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
LZ78_FIXED_BLOCK,512,upper,-132.0,period_3,period_4,01001001001001001001001001001001001001001001001001001001001001001001001001001001001001001001001001001001001001001001001001001001,00100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010
LZ78_FIXED_BLOCK,512,inverse_u,-193.0,zeros,zeros,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
LZ78_FIXED_BLOCK,512,inverse_v,-193.0,zeros,zeros,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
LZ78_FIXED_BLOCK,1024,upper,-161.0,period_3,period_5,11011011011011011011011011011011011011011011011011011011011011011011011011011011011011011011011011011011011011011011011011011011,10101101011010110101101011010110101101011010110101101011010110101101011010110101101011010110101101011010110101101011010110101101
LZ78_FIXED_BLOCK,1024,inverse_u,-297.0,zeros,zeros,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
LZ78_FIXED_BLOCK,1024,inverse_v,-297.0,zeros,zeros,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
