n,ambient,lz_distinct_lengths,worst_log2_rank_regret_vs_target_fitted_order01,worst_normalized_rank_regret,median_log2_rank_regret,fraction_sequences_lz_rank_worse,mean_log2_lz_rank,mean_log2_kt1_rank,mean_log2_target_fitted_rank
6,64,2,5.0,0.8333333333333334,3.0963225389711977,0.96875,5.625,4.797588981692135,3.0841511480407213
8,256,2,7.0,0.875,2.79054663437105,0.921875,7.625,6.752890225356849,4.8824512138928835
10,1024,3,9.0,0.9,2.5001541129167943,0.955078125,9.55249062518029,8.681738891408209,6.814190113745543
12,4096,3,9.727920454563199,0.8106600378802665,2.503918780365092,0.9755859375,11.376178986174402,10.664807443746664,8.70150541218618
14,16384,4,12.668884984266247,0.9049203560190177,2.5860706465939742,0.971435546875,13.51622264049309,12.63916633155559,10.66563482467641
16,65536,3,13.678071905112638,0.8548794940695399,2.5145731728297562,0.956878662109375,15.53694111971625,14.62939472109536,12.660840414811094
