regime,n,rate,metric,mean_log2_rank,median_log2_rank,p95_log2_rank,mean_normalized_rank,median_oracle_overhead_bits,p95_oracle_overhead_bits,mean_effective_log2_queries,mean_bler_proxy
BURSTY_RARE,32,0.75,EMPIRICAL_ML1,4.11257033950602,2.584962500721156,10.171205937713795,0.1285178231095631,2.584962500721156,2.907098305990149,3.6051002568507884,0.18901027227928174
BURSTY_RARE,32,0.75,FIT_16,1.806662594871375,0.0,8.060695931687555,0.05645820608973047,0.0,1.0179106225309218,1.4688217805529857,0.11088095079630218
BURSTY_RARE,32,0.75,FIT_512,1.5144173960955691,0.0,7.728597781155098,0.047325543627986535,0.0,0.08286516979548043,1.3928436555216173,0.09969525402992807
BURSTY_RARE,32,0.75,FIT_64,1.6783705196280885,0.0,7.703826948472886,0.052449078738377765,0.0,0.14399731872742352,1.4286427419451537,0.10701125153508664
BURSTY_RARE,32,0.75,KT0_MEMORYLESS,4.8127193878289845,1.0,23.10625397566882,0.15039748086965576,1.0,14.400701632374677,2.4,0.20291764830368644
BURSTY_RARE,32,0.75,KT1_UNIVERSAL,2.802813776113096,1.0,10.363865193250389,0.08758793050353425,1.0,2.802293928280696,2.333042213629932,0.17102127045657473
BURSTY_RARE,32,0.75,ORACLE_MARKOV,1.527587731596949,0.0,7.768184324776928,0.04773711661240466,0.0,0.0,1.3900945878699535,0.1011579421283301
BURSTY_RARE,32,0.875,EMPIRICAL_ML1,4.11257033950602,2.584962500721156,10.171205937713795,0.1285178231095631,2.584962500721156,2.907098305990149,2.867970000576924,0.41037815939057165
BURSTY_RARE,32,0.875,FIT_16,1.806662594871375,0.0,8.060695931687555,0.05645820608973047,0.0,1.0179106225309218,0.8,0.19848239647028065
BURSTY_RARE,32,0.875,FIT_512,1.5144173960955691,0.0,7.728597781155098,0.047325543627986535,0.0,0.08286516979548043,0.7778602336311986,0.18504023734163136
BURSTY_RARE,32,0.875,FIT_64,1.6783705196280885,0.0,7.703826948472886,0.052449078738377765,0.0,0.14399731872742352,0.7823120312590144,0.19083241777447724
BURSTY_RARE,32,0.875,KT0_MEMORYLESS,4.8127193878289845,1.0,23.10625397566882,0.15039748086965576,1.0,14.400701632374677,1.6,0.24846954959064432
BURSTY_RARE,32,0.875,KT1_UNIVERSAL,2.802813776113096,1.0,10.363865193250389,0.08758793050353425,1.0,2.802293928280696,1.6,0.24411228726276848
