n,family,p,trial,received,d_star,lambda_star,extra_shells,lower_shell,upper_shell,exact_oracle_lower_volume,exact_fiber_upper_volume,fiber_distinct_candidates,fiber_histories,ambiguity_degree,history_candidate_ratio,pass
5,random_linear,0.05,0,9,0,0.50585125,0,-1,0,0,6,4,6,5,1.5,True
5,random_linear,0.05,1,2,1,0.04286875,0,0,1,6,21,13,18,5,1.3846153846153846,True
5,random_linear,0.05,2,9,0,0.50585125,0,-1,0,0,6,4,6,5,1.5,True
5,random_linear,0.05,3,12,1,0.00995125,0,0,1,6,20,20,50,5,2.5,True
5,random_linear,0.05,4,6,0,0.50585125,0,-1,0,0,6,4,6,5,1.5,True
5,random_linear,0.05,5,9,0,0.50585125,0,-1,0,0,6,4,6,5,1.5,True
5,random_linear,0.05,6,11,1,0.04286875,0,0,1,6,21,12,18,5,1.5,True
5,random_linear,0.05,7,9,0,0.50585125,0,-1,0,0,6,4,6,5,1.5,True
5,random_linear,0.1,0,2,1,0.0729,0,0,1,6,21,13,18,5,1.3846153846153846,True
5,random_linear,0.1,1,15,0,0.6561,0,-1,0,0,6,2,2,5,1.0,True
5,random_linear,0.1,2,2,1,0.0729,0,0,1,6,21,13,18,5,1.3846153846153846,True
5,random_linear,0.1,3,11,1,0.0729,0,0,1,6,21,12,18,5,1.5,True
5,random_linear,0.1,4,13,1,0.0729,0,0,1,6,21,13,18,5,1.3846153846153846,True
5,random_linear,0.1,5,8,0,0.17658,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,random_linear,0.1,6,2,1,0.0729,0,0,1,6,21,13,18,5,1.3846153846153846,True
5,random_linear,0.1,7,6,0,0.42282,0,-1,0,0,6,4,6,5,1.5,True
5,named_crc_linear,0.05,0,11,0,0.49772875,0,-1,0,0,6,4,6,5,1.5,True
5,named_crc_linear,0.05,1,0,0,0.81450625,0,-1,0,0,6,2,2,5,1.0,True
5,named_crc_linear,0.05,2,15,0,0.19719625,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,named_crc_linear,0.05,3,0,0,0.81450625,0,-1,0,0,6,2,2,5,1.0,True
5,named_crc_linear,0.05,4,0,0,0.81450625,0,-1,0,0,6,2,2,5,1.0,True
5,named_crc_linear,0.05,5,0,0,0.81450625,0,-1,0,0,6,2,2,5,1.0,True
5,named_crc_linear,0.05,6,11,0,0.49772875,0,-1,0,0,6,4,6,5,1.5,True
5,named_crc_linear,0.05,7,5,0,0.34340125,0,-1,0,0,6,5,8,5,1.6,True
5,named_crc_linear,0.1,0,0,0,0.6561,0,-1,0,0,6,2,2,5,1.0,True
5,named_crc_linear,0.1,1,8,1,0.0729,0,0,1,6,19,11,18,5,1.6363636363636365,True
5,named_crc_linear,0.1,2,7,0,0.17658,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,named_crc_linear,0.1,3,7,0,0.17658,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,named_crc_linear,0.1,4,0,0,0.6561,0,-1,0,0,6,2,2,5,1.0,True
5,named_crc_linear,0.1,5,0,0,0.6561,0,-1,0,0,6,2,2,5,1.0,True
5,named_crc_linear,0.1,6,0,0,0.6561,0,-1,0,0,6,2,2,5,1.0,True
5,named_crc_linear,0.1,7,15,0,0.18954,0,-1,0,0,6,6,10,5,1.6666666666666667,True
6,random_linear,0.05,0,14,0,0.278646875,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,random_linear,0.05,1,0,0,0.7737809375,0,-1,0,0,7,2,2,6,1.0,True
6,random_linear,0.05,2,14,0,0.278646875,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,random_linear,0.05,3,0,0,0.7737809375,0,-1,0,0,7,2,2,6,1.0,True
6,random_linear,0.05,4,2,1,0.0407253125,0,0,1,7,29,16,22,6,1.375,True
6,random_linear,0.05,5,14,0,0.278646875,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,random_linear,0.05,6,0,0,0.7737809375,0,-1,0,0,7,2,2,6,1.0,True
6,random_linear,0.05,7,26,0,0.142915625,0,-1,0,0,7,7,12,6,1.7142857142857142,True
6,random_linear,0.1,0,20,0,0.22113,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,random_linear,0.1,1,30,1,0.06561,0,0,1,7,26,16,22,6,1.375,True
6,random_linear,0.1,2,27,0,0.12177,0,-1,0,0,7,7,12,6,1.7142857142857142,True
6,random_linear,0.1,3,0,0,0.59049,0,-1,0,0,7,2,2,6,1.0,True
6,random_linear,0.1,4,31,0,0.59049,0,-1,0,0,7,2,2,6,1.0,True
6,random_linear,0.1,5,2,1,0.06561,0,0,1,7,29,16,22,6,1.375,True
6,random_linear,0.1,6,8,1,0.06561,0,0,1,7,29,14,22,6,1.5714285714285714,True
