n,family,p,trial,received,d_star,lambda_star,extra_shells,lower_shell,upper_shell,exact_oracle_lower_volume,exact_fiber_upper_volume,fiber_distinct_candidates,fiber_histories,ambiguity_degree,history_candidate_ratio,pass
6,random_linear,0.1,7,1,1,0.06561,0,0,1,7,26,16,22,6,1.375,True
6,named_crc_linear,0.05,0,6,0,0.407253125,0,-1,0,0,7,5,8,6,1.6,True
6,named_crc_linear,0.05,1,14,0,0.278646875,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,named_crc_linear,0.05,2,12,0,0.143271875,0,-1,0,0,7,7,12,6,1.7142857142857142,True
6,named_crc_linear,0.05,3,11,0,0.3940540625,0,-1,0,0,7,5,8,6,1.6,True
6,named_crc_linear,0.05,4,18,0,0.271878125,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,named_crc_linear,0.05,5,21,0,0.271878125,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,named_crc_linear,0.05,6,21,0,0.271878125,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,named_crc_linear,0.05,7,28,0,0.5294290625,0,-1,0,0,7,4,6,6,1.5,True
6,named_crc_linear,0.1,0,15,0,0.14337,0,-1,0,0,7,7,12,6,1.7142857142857142,True
6,named_crc_linear,0.1,1,7,0,0.13365,0,-1,0,0,7,7,12,6,1.7142857142857142,True
6,named_crc_linear,0.1,2,26,0,0.23085,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,named_crc_linear,0.1,3,22,1,0.03645,0,0,1,7,31,24,52,6,2.1666666666666665,True
6,named_crc_linear,0.1,4,25,0,0.12285,0,-1,0,0,7,7,12,6,1.7142857142857142,True
6,named_crc_linear,0.1,5,0,0,0.59049,0,-1,0,0,7,2,2,6,1.0,True
6,named_crc_linear,0.1,6,17,0,0.13365,0,-1,0,0,7,7,12,6,1.7142857142857142,True
6,named_crc_linear,0.1,7,22,1,0.03645,0,0,1,7,31,24,52,6,2.1666666666666665,True
