family,code_name,rate,n,k,p,trial,error_weight,deleted_position,agreement,fiber_certified,prefix_certified,trellis_available,trellis_certified,fiber_wall,prefix_wall,trellis_wall,best_baseline_wall,best_baseline_name,fiber_over_prefix_wall,fiber_over_best_wall,fiber_histories,fiber_candidates,fiber_duplicates,fiber_membership,fiber_exact_scores,fiber_peak_seen,fiber_peak_frontier,prefix_nodes,prefix_membership,prefix_exact_scores,prefix_peak_frontier,trellis_nodes,trellis_updates,trellis_terminals,trellis_exact_scores
random_linear,"RLC_n48_k36",0.75,48,36,0.002,0,0,8,1,1,1,0,0,5.9827000000000002e-05,0.010331908000000001,0,0.010331908000000001,PREFIX_ASTAR,0.0057905083939965392,0.0057905083939965392,95,49,46,49,1,49,48,331,1,1,290,0,0,0,0
random_linear,"RLC_n48_k36",0.75,48,36,0.002,1,0,22,1,1,1,0,0,6.0123e-05,0.0064166919999999999,0,0.0064166919999999999,PREFIX_ASTAR,0.0093697811894353049,0.0093697811894353049,95,49,46,49,1,49,48,217,1,1,187,0,0,0,0
random_linear,"RLC_n48_k36",0.75,48,36,0.002,2,0,35,1,1,1,0,0,6.8144000000000004e-05,0.0063686200000000002,0,0.0063686200000000002,PREFIX_ASTAR,0.010699963257346175,0.010699963257346175,94,47,47,47,1,47,48,212,1,1,181,0,0,0,0
random_linear,"RLC_n48_k36",0.75,48,36,0.002,3,0,1,1,1,1,0,0,5.9623999999999997e-05,0.016458522,0,0.016458522,PREFIX_ASTAR,0.0036226825227684478,0.0036226825227684478,95,49,46,49,1,49,48,517,1,1,448,0,0,0,0
random_linear,"RLC_n48_k36",0.75,48,36,0.002,4,0,44,1,1,1,0,0,6.0136000000000002e-05,0.0089210499999999998,0,0.0089210499999999998,PREFIX_ASTAR,0.0067409105430414583,0.0067409105430414583,95,48,47,48,1,48,48,295,1,1,262,0,0,0,0
random_linear,"RLC_n48_k36",0.75,48,36,0.002,5,0,19,1,1,1,0,0,6.4984e-05,0.011362571,0,0.011362571,PREFIX_ASTAR,0.0057191281797051036,0.0057191281797051036,95,48,47,48,1,48,48,368,1,1,328,0,0,0,0
random_linear,"RLC_n48_k36",0.75,48,36,0.002,6,0,21,1,1,1,0,0,5.5869999999999999e-05,0.0024481590000000001,0,0.0024481590000000001,PREFIX_ASTAR,0.022821230157028197,0.022821230157028197,93,49,44,49,1,49,48,93,1,1,74,0,0,0,0
random_linear,"RLC_n48_k36",0.75,48,36,0.002,7,0,17,1,1,1,0,0,5.4792e-05,0.003881631,0,0.003881631,PREFIX_ASTAR,0.014115715790604517,0.014115715790604517,94,48,46,48,1,48,48,148,1,1,120,0,0,0,0
random_linear,"RLC_n48_k36",0.75,48,36,0.002,8,0,33,1,1,1,0,0,5.6002999999999999e-05,0.0079551889999999997,0,0.0079551889999999997,PREFIX_ASTAR,0.0070398076023083806,0.0070398076023083806,95,49,46,49,1,49,48,272,1,1,233,0,0,0,0
random_linear,"RLC_n48_k36",0.75,48,36,0.002,9,1,16,1,1,1,0,0,0.0013021210000000001,0.121367973,0,0.121367973,PREFIX_ASTAR,0.010728703527082882,0.010728703527082882,4606,2206,2400,2206,1,2206,48,3835,1,1,3319,0,0,0,0
