rate,p,h2_p,Hhalf_p,typical_fiber_favorable,mean_fiber_favorable,hybrid_typical_exponent,hybrid_mean_exponent
0.625,0.002,0.020814071335501033,0.12347183547640277,True,True,0.020814071335501033,0.12347183547640277
0.625,0.005,0.0454146923337941,0.19038395970386965,True,True,0.0454146923337941,0.19038395970386965
0.625,0.01,0.08079313589591118,0.2618286354922585,True,True,0.08079313589591118,0.2618286354922585
0.75,0.002,0.020814071335501033,0.12347183547640277,True,True,0.020814071335501033,0.12347183547640277
0.75,0.005,0.0454146923337941,0.19038395970386965,True,True,0.0454146923337941,0.19038395970386965
0.75,0.01,0.08079313589591118,0.2618286354922585,True,False,0.08079313589591118,0.25
0.875,0.002,0.020814071335501033,0.12347183547640277,True,True,0.020814071335501033,0.12347183547640277
0.875,0.005,0.0454146923337941,0.19038395970386965,True,False,0.0454146923337941,0.125
0.875,0.01,0.08079313589591118,0.2618286354922585,True,False,0.08079313589591118,0.125
