family,rate,p,fiber_wall_log2_slope,best_baseline_wall_log2_slope,fiber_minus_prefix_slope,ratio_log2_slope,predicted_typical_favorable,predicted_mean_favorable
named_crc_linear,0.75,0.002,0.02975795291434126,0.15962647868608795,-0.12986852577174668,-0.1253835911542708,True,True
named_crc_linear,0.75,0.005,0.03244342958007864,0.18568315560645393,-0.15323972602637528,-0.14557204920272418,True,True
named_crc_linear,0.75,0.01,0.25701002889870134,0.41925100292665907,-0.16224097402795773,-0.20782179163631248,True,False
named_crc_linear,0.875,0.002,0.024027586376835833,0.20888961423695837,-0.18486202786012254,-0.1677589957508036,True,True
named_crc_linear,0.875,0.005,0.017070270854565445,0.24491577826829827,-0.22784550741373283,-0.18401803894850272,True,False
named_crc_linear,0.875,0.01,0.01989352296208116,0.2646717780599229,-0.24477825509784176,-0.17909850124554674,True,False
random_linear,0.75,0.002,0.03555190978612924,0.21085541925584428,-0.17530350946971504,-0.16396671651638886,True,True
random_linear,0.75,0.005,0.03127794695255802,0.19210505852216592,-0.16082711156960788,-0.13683730104892608,True,True
random_linear,0.75,0.01,0.029495504032128386,0.3383807990920219,-0.30888529505989354,-0.25339467004434246,True,False
random_linear,0.875,0.002,0.01252705775094938,0.19439064734312192,-0.18186358959217253,-0.1628867286819528,True,True
random_linear,0.875,0.005,0.009082316790077793,0.2173895687866275,-0.2083072519965497,-0.18868809089327976,True,False
random_linear,0.875,0.01,0.02721466122083454,0.2313555842329071,-0.20414092301207257,-0.19582101571933352,True,False
