family,code_name,rate,n,k,p,trial,error_weight,deleted_position,agreement,fiber_certified,prefix_certified,trellis_available,trellis_certified,fiber_wall,prefix_wall,trellis_wall,best_baseline_wall,best_baseline_name,fiber_over_prefix_wall,fiber_over_best_wall,fiber_histories,fiber_candidates,fiber_duplicates,fiber_membership,fiber_exact_scores,fiber_peak_seen,fiber_peak_frontier,prefix_nodes,prefix_membership,prefix_exact_scores,prefix_peak_frontier,trellis_nodes,trellis_updates,trellis_terminals,trellis_exact_scores
random_linear,"RLC_n64_k56",0.875,64,56,0.002,0,1,37,1,1,1,0,0,0.0028917700000000001,0.18190703699999999,0,0.18190703699999999,PREFIX_ASTAR,0.015896966097029001,0.015896966097029001,8188,3992,4196,3992,19,3992,64,4229,1,1,3864,0,0,0,0
random_linear,"RLC_n64_k56",0.875,64,56,0.002,1,0,60,1,1,1,0,0,8.8493999999999997e-05,0.0023750870000000001,0,0.0023750870000000001,PREFIX_ASTAR,0.037259266713177239,0.037259266713177239,121,58,63,58,1,58,64,66,1,1,57,0,0,0,0
random_linear,"RLC_n64_k56",0.875,64,56,0.002,2,0,44,1,1,1,0,0,8.0412000000000002e-05,0.018641285,0,0.018641285,PREFIX_ASTAR,0.0043136511243725955,0.0043136511243725955,126,64,62,64,1,64,64,421,1,1,394,0,0,0,0
random_linear,"RLC_n64_k56",0.875,64,56,0.002,3,0,8,1,1,1,0,0,7.7402000000000002e-05,0.0057372229999999996,0,0.0057372229999999996,PREFIX_ASTAR,0.0134911960019682,0.0134911960019682,123,60,63,60,1,60,64,144,1,1,133,0,0,0,0
random_linear,"RLC_n64_k56",0.875,64,56,0.002,4,0,39,1,1,1,0,0,9.7473999999999995e-05,0.020675019999999999,0,0.020675019999999999,PREFIX_ASTAR,0.0047145782688481075,0.0047145782688481075,127,65,62,65,2,65,64,486,1,1,454,0,0,0,0
random_linear,"RLC_n64_k56",0.875,64,56,0.002,5,0,4,1,1,1,0,0,7.6191000000000003e-05,0.0099571509999999992,0,0.0099571509999999992,PREFIX_ASTAR,0.0076518875730618137,0.0076518875730618137,125,63,62,63,1,63,64,234,1,1,216,0,0,0,0
random_linear,"RLC_n64_k56",0.875,64,56,0.002,6,0,28,1,1,1,0,0,9.9906000000000002e-05,0.0087293089999999993,0,0.0087293089999999993,PREFIX_ASTAR,0.011444892144383939,0.011444892144383939,125,62,63,62,2,62,64,213,1,1,186,0,0,0,0
random_linear,"RLC_n64_k56",0.875,64,56,0.002,7,0,37,1,1,1,0,0,7.3411999999999994e-05,0.005176122,0,0.005176122,PREFIX_ASTAR,0.014182818720269729,0.014182818720269729,123,61,62,61,1,61,64,134,1,1,121,0,0,0,0
random_linear,"RLC_n64_k56",0.875,64,56,0.002,8,0,2,1,1,1,0,0,8.1334000000000004e-05,0.056006634999999999,0,0.056006634999999999,PREFIX_ASTAR,0.0014522207949111744,0.0014522207949111744,128,65,63,65,1,65,64,1240,1,1,1090,0,0,0,0
random_linear,"RLC_n64_k56",0.875,64,56,0.002,9,0,25,1,1,1,0,0,7.4512999999999996e-05,0.0064428480000000002,0,0.0064428480000000002,PREFIX_ASTAR,0.01156522705486766,0.01156522705486766,124,63,61,63,1,63,64,166,1,1,147,0,0,0,0
