family,code_name,rate,n,k,p,trial,error_weight,deleted_position,agreement,fiber_certified,prefix_certified,trellis_available,trellis_certified,fiber_wall,prefix_wall,trellis_wall,best_baseline_wall,best_baseline_name,fiber_over_prefix_wall,fiber_over_best_wall,fiber_histories,fiber_candidates,fiber_duplicates,fiber_membership,fiber_exact_scores,fiber_peak_seen,fiber_peak_frontier,prefix_nodes,prefix_membership,prefix_exact_scores,prefix_peak_frontier,trellis_nodes,trellis_updates,trellis_terminals,trellis_exact_scores
random_linear,"RLC_n64_k48",0.75,64,48,0.0050000000000000001,6,0,4,1,1,1,0,0,8.7218000000000004e-05,0.010436555,0,0.010436555,PREFIX_ASTAR,0.0083569722001177599,0.0083569722001177599,126,65,61,65,1,65,64,247,1,1,219,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.0050000000000000001,7,0,47,1,1,1,0,0,7.6587000000000004e-05,0.0044650360000000004,0,0.0044650360000000004,PREFIX_ASTAR,0.017152605264548818,0.017152605264548818,123,62,61,62,1,62,64,120,1,1,96,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.0050000000000000001,8,0,2,1,1,1,0,0,7.8103999999999996e-05,0.007590103,0,0.007590103,PREFIX_ASTAR,0.010290242438080221,0.010290242438080221,125,63,62,63,1,63,64,187,1,1,159,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.0050000000000000001,9,1,24,1,1,1,0,0,0.0024542209999999999,0.43149070299999998,0,0.43149070299999998,PREFIX_ASTAR,0.0056877726053810246,0.0056877726053810246,8190,3978,4212,3978,1,3978,64,9595,1,1,8533,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.0050000000000000001,10,1,5,1,1,1,0,0,0.0024200290000000002,0.250162622,0,0.250162622,PREFIX_ASTAR,0.0096738232940331119,0.0096738232940331119,8189,3970,4219,3970,1,3970,64,5702,1,1,4774,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.0050000000000000001,11,0,34,1,1,1,0,0,8.1396999999999993e-05,0.014872750000000001,0,0.014872750000000001,PREFIX_ASTAR,0.0054728950597569374,0.0054728950597569374,126,64,62,64,1,64,64,334,1,1,297,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.002,0,0,1,1,1,1,0,0,8.6354999999999996e-05,0.013379505999999999,0,0.013379505999999999,PREFIX_ASTAR,0.0064542741712586395,0.0064542741712586395,126,65,61,65,1,65,64,328,1,1,292,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.002,1,0,43,1,1,1,0,0,7.5858000000000005e-05,0.0098448849999999994,0,0.0098448849999999994,PREFIX_ASTAR,0.0077053210880574036,0.0077053210880574036,126,63,63,63,1,63,64,241,1,1,205,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.002,2,0,42,1,1,1,0,0,7.8300000000000006e-05,0.010386892999999999,0,0.010386892999999999,PREFIX_ASTAR,0.0075383466451421043,0.0075383466451421043,126,64,62,64,1,64,64,257,1,1,226,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.002,3,0,3,1,1,1,0,0,7.8492999999999995e-05,0.0061958910000000002,0,0.0061958910000000002,PREFIX_ASTAR,0.012668557274490464,0.012668557274490464,125,62,63,62,1,62,64,158,1,1,134,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.002,4,0,35,1,1,1,0,0,7.5959999999999998e-05,0.018765838999999999,0,0.018765838999999999,PREFIX_ASTAR,0.0040477806507878489,0.0040477806507878489,127,64,63,64,1,64,64,467,1,1,412,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.002,5,0,38,1,1,1,0,0,7.7120999999999996e-05,0.043607910999999999,0,0.043607910999999999,PREFIX_ASTAR,0.0017685093881245537,0.0017685093881245537,128,65,63,65,1,65,64,1041,1,1,931,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.002,6,0,50,1,1,1,0,0,7.5142999999999995e-05,0.016269862999999999,0,0.016269862999999999,PREFIX_ASTAR,0.0046185391972876477,0.0046185391972876477,127,64,63,64,1,64,64,399,1,1,360,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.002,7,0,25,1,1,1,0,0,7.5026999999999998e-05,0.0082006920000000007,0,0.0082006920000000007,PREFIX_ASTAR,0.0091488620716398076,0.0091488620716398076,125,63,62,63,1,63,64,215,1,1,189,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.002,8,0,30,1,1,1,0,0,7.5221000000000004e-05,0.0076836939999999996,0,0.0076836939999999996,PREFIX_ASTAR,0.0097896923016455376,0.0097896923016455376,125,64,61,64,1,64,64,197,1,1,172,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.002,9,0,46,1,1,1,0,0,7.4821999999999996e-05,0.0078183939999999993,0,0.0078183939999999993,PREFIX_ASTAR,0.0095699960887108016,0.0095699960887108016,126,64,62,64,1,64,64,202,1,1,167,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.002,10,0,42,1,1,1,0,0,7.6291000000000005e-05,0.044398641000000003,0,0.044398641000000003,PREFIX_ASTAR,0.0017183183602399001,0.0017183183602399001,128,65,63,65,1,65,64,1036,1,1,938,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.002,11,0,58,1,1,1,0,0,8.1156999999999996e-05,0.018585147,0,0.018585147,PREFIX_ASTAR,0.0043667666443531492,0.0043667666443531492,127,64,63,64,1,64,64,441,1,1,400,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.0050000000000000001,0,0,22,1,1,1,0,0,7.9623000000000007e-05,0.0049256100000000004,0,0.0049256100000000004,PREFIX_ASTAR,0.016165104423614535,0.016165104423614535,125,63,62,63,1,63,64,123,1,1,104,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.0050000000000000001,1,0,12,1,1,1,0,0,7.9412999999999993e-05,0.056614775999999999,0,0.056614775999999999,PREFIX_ASTAR,0.0014026903506603999,0.0014026903506603999,128,65,63,65,1,65,64,1239,1,1,1131,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.0050000000000000001,2,0,16,1,1,1,0,0,7.8459000000000002e-05,0.035792385000000003,0,0.035792385000000003,PREFIX_ASTAR,0.0021920584504217864,0.0021920584504217864,128,65,63,65,1,65,64,835,1,1,700,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.0050000000000000001,3,0,62,1,1,1,0,0,0.000107938,0.027400496999999999,0,0.027400496999999999,PREFIX_ASTAR,0.0039392716124820653,0.0039392716124820653,127,65,62,65,2,65,64,618,1,1,557,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.0050000000000000001,4,0,24,1,1,1,0,0,8.2107999999999994e-05,0.014251063,0,0.014251063,PREFIX_ASTAR,0.0057615351219765147,0.0057615351219765147,126,64,62,64,1,64,64,328,1,1,292,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.0050000000000000001,5,0,15,1,1,1,0,0,7.9809999999999997e-05,0.0098665739999999995,0,0.0098665739999999995,PREFIX_ASTAR,0.0080889273216822773,0.0080889273216822773,126,64,62,64,1,64,64,240,1,1,205,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.0050000000000000001,6,0,58,1,1,1,0,0,7.9192999999999999e-05,0.035611977000000003,0,0.035611977000000003,PREFIX_ASTAR,0.0022237743217682071,0.0022237743217682071,128,65,63,65,1,65,64,866,1,1,762,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.0050000000000000001,7,0,0,1,1,1,0,0,7.7789999999999999e-05,0.014080705000000001,0,0.014080705000000001,PREFIX_ASTAR,0.0055245813331079655,0.0055245813331079655,126,63,63,63,1,63,64,342,1,1,299,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.0050000000000000001,8,0,28,1,1,1,0,0,7.9942000000000001e-05,0.013170611,0,0.013170611,PREFIX_ASTAR,0.006069725998285121,0.006069725998285121,126,63,63,63,1,63,64,306,1,1,268,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.0050000000000000001,9,0,14,1,1,1,0,0,7.4763000000000002e-05,0.0053217869999999997,0,0.0053217869999999997,PREFIX_ASTAR,0.01404847657375239,0.01404847657375239,123,62,61,62,1,62,64,143,1,1,114,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.0050000000000000001,10,1,14,1,1,1,0,0,0.0024034880000000001,1.2431554149999999,0,1.2431554149999999,PREFIX_ASTAR,0.0019333769301885719,0.0019333769301885719,8192,3985,4207,3985,1,3985,64,25904,1,1,22801,0,0,0,0
named_crc_linear,"CRC_n64_k48_CRC-16/CCITT-like",0.75,64,48,0.0050000000000000001,11,0,28,1,1,1,0,0,8.3149e-05,0.038338690000000002,0,0.038338690000000002,PREFIX_ASTAR,0.0021688012814209353,0.0021688012814209353,128,65,63,65,1,65,64,886,1,1,774,0,0,0,0
