family,code_name,rate,n,k,p,trial,error_weight,deleted_position,agreement,fiber_certified,prefix_certified,trellis_available,trellis_certified,fiber_wall,prefix_wall,trellis_wall,best_baseline_wall,best_baseline_name,fiber_over_prefix_wall,fiber_over_best_wall,fiber_histories,fiber_candidates,fiber_duplicates,fiber_membership,fiber_exact_scores,fiber_peak_seen,fiber_peak_frontier,prefix_nodes,prefix_membership,prefix_exact_scores,prefix_peak_frontier,trellis_nodes,trellis_updates,trellis_terminals,trellis_exact_scores
random_linear,"RLC_n32_k24",0.75,32,24,0.002,0,0,28,1,1,1,1,1,6.3404999999999993e-05,0.00053580299999999995,0.00064652199999999996,0.00053580299999999995,PREFIX_ASTAR,0.1183364034915818,0.1183364034915818,60,29,31,29,2,29,32,34,1,1,25,2338,524288,35,2
random_linear,"RLC_n32_k24",0.75,32,24,0.002,1,0,10,1,1,1,1,1,3.8509e-05,0.0056778159999999996,0.00035495999999999998,0.00035495999999999998,SYNDROME_TRELLIS,0.0067823613868431103,0.10848828036961912,64,33,31,33,1,33,32,314,1,1,254,2185,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,2,0,25,1,1,1,1,1,3.6022999999999997e-05,0.00083848699999999996,0.00033613300000000002,0.00033613300000000002,SYNDROME_TRELLIS,0.042961906386145519,0.10716888850544277,61,31,30,31,1,31,32,58,1,1,43,2170,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,3,0,23,1,1,1,1,1,4.4975000000000002e-05,0.0019625649999999999,0.00031655799999999999,0.00031655799999999999,SYNDROME_TRELLIS,0.022916438436433956,0.14207506997137967,63,33,30,33,1,33,32,120,1,1,99,1801,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,4,0,9,1,1,1,1,1,3.7693e-05,0.0012189550000000001,0.00036613299999999999,0.00036613299999999999,SYNDROME_TRELLIS,0.030922388439277904,0.10294892839487291,61,32,29,32,1,32,32,75,1,1,63,2315,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,5,0,23,1,1,1,1,1,3.7724e-05,0.0017421450000000001,0.00029843099999999999,0.00029843099999999999,SYNDROME_TRELLIS,0.021653765903526974,0.12640777935268119,62,32,30,32,1,32,32,98,1,1,82,1656,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,6,0,22,1,1,1,1,1,3.5012000000000003e-05,0.00053338500000000004,0.00027648700000000001,0.00027648700000000001,SYNDROME_TRELLIS,0.065641141014464222,0.12663163186695939,59,30,29,30,1,30,32,37,1,1,26,1553,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,7,0,29,1,1,1,1,1,3.8210000000000002e-05,0.002656173,0.00048795499999999999,0.00048795499999999999,SYNDROME_TRELLIS,0.014385358182618378,0.078306401205029158,63,33,30,33,1,33,32,158,1,1,126,3836,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,8,0,5,1,1,1,1,1,4.0428e-05,0.0045193830000000001,0.00040068100000000001,0.00040068100000000001,SYNDROME_TRELLIS,0.0089454688836949642,0.10089822077912354,64,33,31,33,1,33,32,246,1,1,197,2828,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,9,0,5,1,1,1,1,1,3.7478999999999998e-05,0.0023899759999999998,0.00032382899999999998,0.00032382899999999998,SYNDROME_TRELLIS,0.015681747431773373,0.11573700934752601,63,32,31,32,1,32,32,144,1,1,119,2252,524288,33,1
