n,family,p,trial,received,d_star,lambda_star,extra_shells,lower_shell,upper_shell,exact_oracle_lower_volume,exact_fiber_upper_volume,fiber_distinct_candidates,fiber_histories,ambiguity_degree,history_candidate_ratio,pass
6,random_linear,0.05,2,22,1,0.034295,0,0,1,7,31,18,32,6,1.7777777777777777,True
6,random_linear,0.05,3,4,0,0.2850771875,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,random_linear,0.05,4,14,1,0.034295,0,0,1,7,29,17,32,6,1.8823529411764706,True
6,random_linear,0.05,5,17,0,0.278646875,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,random_linear,0.05,6,17,0,0.278646875,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,random_linear,0.05,7,20,1,0.0150040625,0,0,1,7,31,27,62,6,2.2962962962962963,True
6,random_linear,0.1,0,11,1,0.04617,0,0,1,7,31,21,42,6,2.0,True
6,random_linear,0.1,1,17,0,0.23085,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,random_linear,0.1,2,18,0,0.22005,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,random_linear,0.1,3,26,0,0.23085,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,random_linear,0.1,4,26,0,0.23085,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,random_linear,0.1,5,30,0,0.50301,0,-1,0,0,7,3,4,6,1.3333333333333333,True
6,random_linear,0.1,6,31,0,0.15309,0,-1,0,0,7,7,12,6,1.7142857142857142,True
6,random_linear,0.1,7,30,0,0.50301,0,-1,0,0,7,3,4,6,1.3333333333333333,True
6,named_crc_linear,0.05,0,25,0,0.143271875,0,-1,0,0,7,7,12,6,1.7142857142857142,True
6,named_crc_linear,0.05,1,21,0,0.271878125,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,named_crc_linear,0.05,2,14,0,0.278646875,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,named_crc_linear,0.05,3,30,0,0.2850771875,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,named_crc_linear,0.05,4,25,0,0.143271875,0,-1,0,0,7,7,12,6,1.7142857142857142,True
6,named_crc_linear,0.05,5,12,0,0.143271875,0,-1,0,0,7,7,12,6,1.7142857142857142,True
6,named_crc_linear,0.05,6,7,0,0.150040625,0,-1,0,0,7,7,12,6,1.7142857142857142,True
6,named_crc_linear,0.05,7,2,1,0.0407253125,0,0,1,7,29,16,22,6,1.375,True
6,named_crc_linear,0.1,0,28,0,0.41553,0,-1,0,0,7,4,6,6,1.5,True
6,named_crc_linear,0.1,1,27,0,0.12177,0,-1,0,0,7,7,12,6,1.7142857142857142,True
6,named_crc_linear,0.1,2,18,0,0.22005,0,-1,0,0,7,6,10,6,1.6666666666666667,True
6,named_crc_linear,0.1,3,27,0,0.12177,0,-1,0,0,7,7,12,6,1.7142857142857142,True
6,named_crc_linear,0.1,4,5,0,0.12165,0,-1,0,0,7,7,12,6,1.7142857142857142,True
6,named_crc_linear,0.1,5,20,1,0.04617,0,0,1,7,31,21,42,6,2.0,True
6,named_crc_linear,0.1,6,11,0,0.30753,0,-1,0,0,7,5,8,6,1.6,True
6,named_crc_linear,0.1,7,21,0,0.22005,0,-1,0,0,7,6,10,6,1.6666666666666667,True
