n,family,p,trial,received,d_star,lambda_star,extra_shells,lower_shell,upper_shell,exact_oracle_lower_volume,exact_fiber_upper_volume,fiber_distinct_candidates,fiber_histories,ambiguity_degree,history_candidate_ratio,pass
5,random_linear,0.05,0,14,0,0.18907375,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,random_linear,0.05,1,14,0,0.18907375,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,random_linear,0.05,2,5,0,0.33485125,0,-1,0,0,6,5,8,5,1.6,True
5,random_linear,0.05,3,10,0,0.34340125,0,-1,0,0,6,5,8,5,1.6,True
5,random_linear,0.05,4,0,0,0.81450625,0,-1,0,0,6,2,2,5,1.0,True
5,random_linear,0.05,5,10,0,0.34340125,0,-1,0,0,6,5,8,5,1.6,True
5,random_linear,0.05,6,7,0,0.18907375,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,random_linear,0.05,7,5,0,0.33485125,0,-1,0,0,6,5,8,5,1.6,True
5,random_linear,0.1,0,11,0,0.16218,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,random_linear,0.1,1,15,0,0.18954,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,random_linear,0.1,2,10,0,0.29322,0,-1,0,0,6,5,8,5,1.6,True
5,random_linear,0.1,3,0,0,0.6561,0,-1,0,0,6,2,2,5,1.0,True
5,random_linear,0.1,4,4,1,0.0729,0,0,1,6,21,12,18,5,1.5,True
5,random_linear,0.1,5,14,0,0.17658,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,random_linear,0.1,6,0,0,0.6561,0,-1,0,0,6,2,2,5,1.0,True
5,random_linear,0.1,7,2,1,0.0729,0,0,1,6,21,13,18,5,1.3846153846153846,True
5,named_crc_linear,0.05,0,6,0,0.17240125,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,named_crc_linear,0.05,1,15,0,0.19719625,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,named_crc_linear,0.05,2,10,0,0.33485125,0,-1,0,0,6,5,8,5,1.6,True
5,named_crc_linear,0.05,3,6,0,0.17240125,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,named_crc_linear,0.05,4,8,1,0.04286875,0,0,1,6,19,11,18,5,1.6363636363636365,True
5,named_crc_linear,0.05,5,7,0,0.18907375,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,named_crc_linear,0.05,6,6,0,0.17240125,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,named_crc_linear,0.05,7,5,0,0.34340125,0,-1,0,0,6,5,8,5,1.6,True
5,named_crc_linear,0.1,0,10,0,0.27882,0,-1,0,0,6,5,8,5,1.6,True
5,named_crc_linear,0.1,1,4,1,0.0729,0,0,1,6,21,12,18,5,1.5,True
5,named_crc_linear,0.1,2,14,0,0.17658,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,named_crc_linear,0.1,3,15,0,0.18954,0,-1,0,0,6,6,10,5,1.6666666666666667,True
5,named_crc_linear,0.1,4,4,1,0.0729,0,0,1,6,21,12,18,5,1.5,True
5,named_crc_linear,0.1,5,0,0,0.6561,0,-1,0,0,6,2,2,5,1.0,True
5,named_crc_linear,0.1,6,1,1,0.0729,0,0,1,6,19,13,18,5,1.3846153846153846,True
5,named_crc_linear,0.1,7,6,0,0.14922,0,-1,0,0,6,6,10,5,1.6666666666666667,True
6,random_linear,0.05,0,30,0,0.651605,0,-1,0,0,7,3,4,6,1.3333333333333333,True
6,random_linear,0.05,1,29,0,0.52299875,0,-1,0,0,7,4,6,6,1.5,True
