family,code_name,rate,n,k,p,trial,error_weight,deleted_position,agreement,fiber_certified,prefix_certified,trellis_available,trellis_certified,fiber_wall,prefix_wall,trellis_wall,best_baseline_wall,best_baseline_name,fiber_over_prefix_wall,fiber_over_best_wall,fiber_histories,fiber_candidates,fiber_duplicates,fiber_membership,fiber_exact_scores,fiber_peak_seen,fiber_peak_frontier,prefix_nodes,prefix_membership,prefix_exact_scores,prefix_peak_frontier,trellis_estimated_updates,trellis_nodes,trellis_updates,trellis_terminals,trellis_exact_scores
random_linear,"RLC_n32_k24",0.75,32,24,0.002,0,0,2,1,1,1,1,1,4.066e-05,0.0015602140000000001,0.00030150400000000002,0.00030150400000000002,SYNDROME_TRELLIS,0.02606052759429155,0.1348572489917215,62,32,30,32,1,32,32,82,1,1,66,524288,1882,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,1,0,16,1,1,1,1,1,3.9802000000000003e-05,0.00072759500000000004,0.00033702599999999998,0.00033702599999999998,SYNDROME_TRELLIS,0.054703509507349556,0.11809771352951999,61,30,31,30,1,30,32,45,1,1,34,524288,2249,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,2,0,31,1,1,1,1,1,3.9104999999999999e-05,0.0065716050000000003,0.00033743800000000002,0.00033743800000000002,SYNDROME_TRELLIS,0.0059506011088615333,0.11588795571334586,64,33,31,33,1,33,32,339,1,1,281,524288,2593,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,3,0,25,1,1,1,1,1,3.6814999999999999e-05,0.0010525650000000001,0.000273312,0.000273312,SYNDROME_TRELLIS,0.034976462261238017,0.13469953752487998,62,32,30,32,1,32,32,66,1,1,52,524288,1731,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,4,0,15,1,1,1,1,1,3.6276000000000003e-05,0.001261538,0.00030201700000000002,0.00030201700000000002,SYNDROME_TRELLIS,0.028755376373918187,0.12011244400149661,61,32,29,32,1,32,32,76,1,1,61,524288,2080,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,5,0,0,1,1,1,1,1,3.7273e-05,0.0044669080000000003,0.00032335399999999998,0.00032335399999999998,SYNDROME_TRELLIS,0.0083442506539198914,0.11526995181751271,63,32,31,32,1,32,32,235,1,1,193,524288,2089,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,6,0,6,1,1,1,1,1,3.9085000000000003e-05,0.0017881730000000001,0.00030934700000000002,0.00030934700000000002,SYNDROME_TRELLIS,0.021857504838737638,0.1263467885578331,62,32,30,32,1,32,32,107,1,1,88,524288,2018,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,7,0,3,1,1,1,1,1,4.3473999999999997e-05,0.0031772789999999999,0.00027370600000000003,0.00027370600000000003,SYNDROME_TRELLIS,0.013682776992514665,0.15883466200960153,63,33,30,33,1,33,32,176,1,1,138,524288,1875,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,8,0,27,1,1,1,1,1,3.6358e-05,0.0016727249999999999,0.00031869899999999998,0.00031869899999999998,SYNDROME_TRELLIS,0.021735790401889134,0.11408256693619999,62,32,30,32,1,32,32,100,1,1,73,524288,2072,524288,33,1
random_linear,"RLC_n32_k24",0.75,32,24,0.002,9,0,21,1,1,1,1,1,3.7280000000000002e-05,0.0061955839999999996,0.000341761,0.000341761,SYNDROME_TRELLIS,0.0060171890172096782,0.10908207782631722,64,33,31,33,1,33,32,363,1,1,301,524288,2559,524288,33,1
