family,code_name,rate,n,k,p,trial,error_weight,deleted_position,agreement,fiber_certified,prefix_certified,trellis_available,trellis_certified,fiber_wall,prefix_wall,trellis_wall,best_baseline_wall,best_baseline_name,fiber_over_prefix_wall,fiber_over_best_wall,fiber_histories,fiber_candidates,fiber_duplicates,fiber_membership,fiber_exact_scores,fiber_peak_seen,fiber_peak_frontier,prefix_nodes,prefix_membership,prefix_exact_scores,prefix_peak_frontier,trellis_estimated_updates,trellis_nodes,trellis_updates,trellis_terminals,trellis_exact_scores
random_linear,"RLC_n64_k48",0.75,64,48,0.002,0,0,47,1,1,1,0,0,7.3825000000000006e-05,0.026260809999999999,0,0.026260809999999999,PREFIX_ASTAR,0.0028112232638673371,0.0028112232638673371,127,64,63,64,1,64,64,607,1,1,539,536870912,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,1,1,28,1,1,1,0,0,0.0026632750000000001,0.41461508699999999,0,0.41461508699999999,PREFIX_ASTAR,0.0064234879132606193,0.0064234879132606193,8190,3944,4246,3944,1,3944,64,9405,1,1,8396,536870912,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,2,0,42,1,1,1,0,0,9.4644999999999999e-05,0.023013747000000001,0,0.023013747000000001,PREFIX_ASTAR,0.0041125419515561715,0.0041125419515561715,127,65,62,65,1,65,64,539,1,1,475,536870912,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,3,0,5,1,1,1,0,0,8.2564000000000004e-05,0.0066486920000000003,0,0.0066486920000000003,PREFIX_ASTAR,0.012418081631695378,0.012418081631695378,124,63,61,63,1,63,64,172,1,1,143,536870912,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,4,0,28,1,1,1,0,0,8.0037999999999995e-05,0.006884088,0,0.006884088,PREFIX_ASTAR,0.011626521915466507,0.011626521915466507,125,64,61,64,1,64,64,182,1,1,159,536870912,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,5,2,58,1,1,1,0,0,0.083701231000000001,17.717133027999999,0,17.717133027999999,PREFIX_ASTAR,0.0047243101278135304,0.0047243101278135304,258176,119328,138848,119328,3,119328,64,369553,1,1,309527,536870912,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,6,0,62,1,1,1,0,0,8.4155999999999999e-05,0.030231733,0,0.030231733,PREFIX_ASTAR,0.0027836975141319223,0.0027836975141319223,127,65,62,65,1,65,64,647,1,1,585,536870912,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,7,0,22,1,1,1,0,0,7.9526999999999999e-05,0.025863892999999999,0,0.025863892999999999,PREFIX_ASTAR,0.0030748271344920889,0.0030748271344920889,127,65,62,65,1,65,64,552,1,1,503,536870912,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,8,0,16,1,1,1,0,0,7.4307000000000005e-05,0.017257270000000002,0,0.017257270000000002,PREFIX_ASTAR,0.0043058374818264996,0.0043058374818264996,127,65,62,65,1,65,64,403,1,1,362,536870912,0,0,0,0
random_linear,"RLC_n64_k48",0.75,64,48,0.002,9,1,1,1,1,1,0,0,0.0024722759999999998,1.0245418719999999,0,1.0245418719999999,PREFIX_ASTAR,0.0024130551103527763,0.0024130551103527763,8191,3986,4205,3986,1,3986,64,21409,1,1,18259,536870912,0,0,0,0
