family,code_name,rate,n,k,p,trial,error_weight,deleted_position,agreement,fiber_certified,prefix_certified,trellis_available,trellis_certified,fiber_wall,prefix_wall,trellis_wall,best_baseline_wall,best_baseline_name,fiber_over_prefix_wall,fiber_over_best_wall,fiber_histories,fiber_candidates,fiber_duplicates,fiber_membership,fiber_exact_scores,fiber_peak_seen,fiber_peak_frontier,prefix_nodes,prefix_membership,prefix_exact_scores,prefix_peak_frontier,trellis_estimated_updates,trellis_nodes,trellis_updates,trellis_terminals,trellis_exact_scores
random_linear,"RLC_n64_k56",0.875,64,56,0.002,16,1,26,1,1,1,1,1,0.0032600429999999998,0.16662552,0.0036684769999999998,0.0036684769999999998,SYNDROME_TRELLIS,0.01956508822898197,0.88866387877039976,8187,3996,4191,3996,24,3996,64,3538,1,1,3281,2097152,28730,2097152,108,21
random_linear,"RLC_n64_k56",0.875,64,56,0.002,17,0,63,1,1,1,1,1,9.3746000000000007e-05,0.050411052999999997,0.0023778919999999999,0.0023778919999999999,SYNDROME_TRELLIS,0.0018596318549426057,0.039423994024959927,127,65,62,65,1,65,64,1017,1,1,930,2097152,18861,2097152,65,1
random_linear,"RLC_n64_k56",0.875,64,56,0.002,18,1,8,1,1,1,1,1,0.0028917930000000001,0.36157470800000002,0.0029544990000000002,0.0029544990000000002,SYNDROME_TRELLIS,0.0079977745567314396,0.97877609706417223,8189,3990,4199,3990,10,3990,64,7436,1,1,6821,2097152,24700,2097152,78,7
random_linear,"RLC_n64_k56",0.875,64,56,0.002,19,0,57,1,1,1,1,1,8.7004999999999998e-05,0.013133555,0.00209939,0.00209939,SYNDROME_TRELLIS,0.0066246343811709775,0.041442990582978866,126,65,61,65,1,65,64,290,1,1,260,2097152,16212,2097152,65,1
random_linear,"RLC_n64_k56",0.875,64,56,0.002,20,0,46,1,1,1,1,1,8.5302000000000004e-05,0.080541164999999998,0.002134047,0.002134047,SYNDROME_TRELLIS,0.0010591105802852491,0.039971940636733871,128,65,63,65,1,65,64,1606,1,1,1497,2097152,17271,2097152,65,1
random_linear,"RLC_n64_k56",0.875,64,56,0.002,21,0,31,1,1,1,1,1,8.1924999999999999e-05,0.065909186999999994,0.002060447,0.002060447,SYNDROME_TRELLIS,0.0012429981877943664,0.039760789770375067,128,65,63,65,1,65,64,1386,1,1,1287,2097152,16465,2097152,65,1
random_linear,"RLC_n64_k56",0.875,64,56,0.002,22,0,53,1,1,1,1,1,8.3368999999999994e-05,0.046000919000000001,0.0020335150000000001,0.0020335150000000001,SYNDROME_TRELLIS,0.0018123333579487834,0.040997484650961508,128,65,63,65,1,65,64,960,1,1,877,2097152,13384,2097152,65,1
random_linear,"RLC_n64_k56",0.875,64,56,0.002,23,0,25,1,1,1,1,1,8.2908e-05,0.031393866999999999,0.002146518,0.002146518,SYNDROME_TRELLIS,0.0026408979817618521,0.038624414051035214,127,64,63,64,1,64,64,648,1,1,609,2097152,17426,2097152,65,1
random_linear,"RLC_n64_k56",0.875,64,56,0.002,24,0,7,1,1,1,1,1,0.000111172,0.055150062,0.0019808820000000002,0.0019808820000000002,SYNDROME_TRELLIS,0.0020158091572045739,0.056122474736001432,128,65,63,65,2,65,64,1152,1,1,930,2097152,14936,2097152,66,2
random_linear,"RLC_n64_k56",0.875,64,56,0.002,25,0,14,1,1,1,1,1,8.4884999999999998e-05,0.045203384999999999,0.0023372990000000001,0.0023372990000000001,SYNDROME_TRELLIS,0.0018778460949329348,0.036317561424533185,127,64,63,64,1,64,64,929,1,1,851,2097152,18740,2097152,65,1
