family,rate,n,p,error_bucket,trials,agreement_fraction,completion_fraction,median_fiber_over_best_wall,p90_fiber_over_best_wall,p95_fiber_over_best_wall,p99_fiber_over_best_wall,maximum_fiber_over_best_wall,median_histories,p95_histories,trellis_available_fraction,trellis_best_fraction
named_crc_linear,0.75,48,0.01,E2,5,1.0,1.0,0.1025742942678822,3.3770511971070416,3.439199216686253,3.488917632349622,3.501347236265464,4608.0,108382.8,1.0,1.0
named_crc_linear,0.75,48,0.01,E3PLUS,2,1.0,1.0,3.3992369299229486,4.062113320323719,4.144972869123815,4.211260508163892,4.227832417923911,108380.5,108380.95,1.0,1.0
named_crc_linear,0.75,64,0.01,E0,315,1.0,1.0,0.0037855145111212,0.01882343999622104,0.024014425506020804,0.03377798550016207,0.0377468639864046,127.0,128.0,0.0,0.0
named_crc_linear,0.75,64,0.01,E1,199,1.0,1.0,0.004046851207735,0.01575239191699502,0.020538254934535982,0.022663055851414454,0.0232708644336111,8190.0,8192.0,0.0,0.0
named_crc_linear,0.75,64,0.01,E2,70,1.0,1.0,0.0106421862555038,0.020653511136136133,0.02347515728127017,0.027550231653298504,0.0282013569600715,258173.0,258175.0,0.0,0.0
named_crc_linear,0.75,64,0.01,E3PLUS,16,1.0,1.0,0.008599125113674399,0.05540571267463,0.05753797471356547,0.06220388996106565,0.0633703687729407,258175.0,5341179.0,0.0,0.0
named_crc_linear,0.875,32,0.002,E0,78,1.0,1.0,0.40813755649417016,0.510807170267425,0.5342533337705261,0.6012524999355108,0.630294584130242,62.0,64.0,1.0,1.0
named_crc_linear,0.875,32,0.002,E1,2,1.0,1.0,0.35785260613468184,0.41047896480827717,0.4170572596424766,0.4223198955098361,0.423635554476676,63.5,63.95,1.0,1.0
named_crc_linear,0.875,48,0.002,E0,74,1.0,1.0,0.15955222223834004,0.20953448823598775,0.22748257136346306,0.2413227084864723,0.2421302220999629,94.0,96.0,1.0,1.0
named_crc_linear,0.875,48,0.002,E1,6,1.0,1.0,0.4423594195922779,0.7378643478308857,0.7435583548438734,0.7481135604542636,0.7492523618568612,2349.0,4602.75,1.0,1.0
named_crc_linear,0.875,64,0.002,E0,522,1.0,1.0,0.034163391757795494,0.03985528487784278,0.04144547795982033,0.044107898880420555,0.0477677074254859,126.0,128.0,1.0,0.9846743295019157
named_crc_linear,0.875,64,0.002,E1,74,1.0,1.0,0.9118240966118352,1.0087582766415017,1.0396783841574635,1.0607215628719264,1.067014779134789,8187.0,8190.0,1.0,1.0
named_crc_linear,0.875,64,0.002,E2,4,1.0,1.0,0.9258759554532254,0.9443113551361022,0.9445449173945811,0.9447317672013643,0.94477847965306,8187.5,8188.0,1.0,1.0
named_crc_linear,0.875,32,0.005,E0,71,1.0,1.0,0.4095125439405483,0.5028711746268999,0.5389506013702976,0.737379646212814,0.7501512917330788,62.0,64.0,1.0,1.0
named_crc_linear,0.875,32,0.005,E1,9,1.0,1.0,0.4686958620885519,0.7092500476383448,0.7102836435934136,0.7111105203574686,0.7113172395484824,63.0,2043.6,1.0,1.0
named_crc_linear,0.875,48,0.005,E0,60,1.0,1.0,0.16100947709071325,0.21414667770260942,0.22560133816125574,0.23700055239954593,0.2379364619144265,94.0,96.0,1.0,1.0
named_crc_linear,0.875,48,0.005,E1,17,1.0,1.0,0.6713270457446202,0.7682911628533325,0.7763860759407344,0.7807622327647944,0.7818562719708094,4596.0,4604.0,1.0,1.0
named_crc_linear,0.875,48,0.005,E2,3,1.0,1.0,0.1780920158956489,0.6926248619583982,0.7569414677162418,0.8083947523225168,0.8212580734740855,96.0,4147.799999999999,1.0,1.0
named_crc_linear,0.875,64,0.005,E0,408,1.0,1.0,0.03517057310396145,0.03996301019512482,0.04179677878143024,0.0444674820312751,0.0540442863676111,126.0,128.0,1.0,0.9901960784313726
named_crc_linear,0.875,64,0.005,E1,173,1.0,1.0,0.9336412850736032,1.0009555584886287,1.0214662534278105,1.0407784255151489,1.1506935890365777,8187.0,8189.0,1.0,1.0
named_crc_linear,0.875,64,0.005,E2,17,1.0,1.0,0.9368417229159844,0.9828936821857167,0.9933629326557483,1.021530886574657,1.0285728750543843,8187.0,8189.2,1.0,1.0
named_crc_linear,0.875,64,0.005,E3PLUS,2,1.0,1.0,0.9095786741540166,0.9480878802394977,0.9529015310001828,0.956752451608731,0.957715181760868,8188.0,8188.0,1.0,1.0
named_crc_linear,0.875,32,0.01,E0,56,1.0,1.0,0.42170311631321344,0.5565512272944335,0.5936807615249979,0.6158463241282786,0.6216347219144693,62.0,64.0,1.0,1.0
named_crc_linear,0.875,32,0.01,E1,22,1.0,1.0,0.42330876099387926,0.5182525471661567,0.716942213816458,0.7505345705816714,0.7566998330973432,63.0,1943.0999999999985,1.0,1.0
named_crc_linear,0.875,32,0.01,E2,2,1.0,1.0,0.4368122534426988,0.5226405448494783,0.5333690812753257,0.5419519104160037,0.5440976177011732,61.5,61.95,1.0,1.0
named_crc_linear,0.875,48,0.01,E0,51,1.0,1.0,0.1490059184179749,0.2183730342667857,0.22603231467247642,0.2461308151402119,0.2500458719255837,94.0,96.0,1.0,1.0
named_crc_linear,0.875,48,0.01,E1,22,1.0,1.0,0.6698777192285155,0.7233152152830712,0.7245041351226822,0.7625679626288212,0.7726801650310839,4599.5,4604.0,1.0,1.0
named_crc_linear,0.875,48,0.01,E2,5,1.0,1.0,0.1834992034036118,0.4845743385769943,0.5847934863078269,0.6649688044924933,0.6850126340386599,95.0,3702.1999999999994,1.0,1.0
named_crc_linear,0.875,48,0.01,E3PLUS,2,1.0,1.0,0.44705370931804345,0.6608040757045912,0.6875228715029096,0.7088979081415644,0.7142416673012281,2349.5,4378.55,1.0,1.0
named_crc_linear,0.875,64,0.01,E0,308,1.0,1.0,0.03201630458186375,0.0364020768188912,0.03844157890749858,0.04072814745729093,0.0527311983701813,126.0,128.0,1.0,0.9707792207792207
named_crc_linear,0.875,64,0.01,E1,224,1.0,1.0,0.8321838139703086,0.9006142948550591,0.9222337854549125,0.9968202758332674,1.1530855266780933,8187.0,8189.0,1.0,1.0
named_crc_linear,0.875,64,0.01,E2,50,1.0,1.0,0.8422572457692219,0.8916838333107423,0.9196998445210511,0.9328278569086175,0.9411583059979612,8187.0,8190.0,1.0,1.0
named_crc_linear,0.875,64,0.01,E3PLUS,18,1.0,1.0,0.8470839368731683,0.8737250353540948,0.8832511651211438,0.9033343477191024,0.908355143368592,8188.0,8189.3,1.0,1.0
random_linear,0.75,32,0.002,E0,75,1.0,1.0,0.1208347337590627,0.13479416440498485,0.1532300198038051,0.1616704287181934,0.169741457042647,62.0,64.0,1.0,1.0
random_linear,0.75,32,0.002,E1,5,1.0,1.0,1.660545889587822,2.0419507109754282,2.075732930460857,2.1027587060492,2.109515149946286,2046.0,2046.8,1.0,1.0
random_linear,0.75,48,0.002,E0,73,1.0,1.0,0.0071100943897987,0.018774767302342198,0.023554120850573252,0.04101597184743654,0.0471623863694348,95.0,96.0,1.0,0.2465753424657534
random_linear,0.75,48,0.002,E1,7,1.0,1.0,0.1071687863044709,0.1094635026071351,0.1105434949876343,0.11140748889203367,0.1116234873681335,4606.0,4607.7,1.0,1.0
random_linear,0.75,64,0.002,E0,520,1.0,1.0,0.0043119712371096,0.020783567231729912,0.028331165770230506,0.03474555854136742,0.0396768471354391,127.0,128.0,0.0,0.0
random_linear,0.75,64,0.002,E1,76,1.0,1.0,0.004824964455513151,0.01617666346014025,0.020702016647207624,0.023349123229533877,0.0234168078248459,8190.0,8192.0,0.0,0.0
random_linear,0.75,64,0.002,E2,4,1.0,1.0,0.0051718293953956496,0.011437973426182482,0.012684821589726338,0.013682300120561427,0.0139316697532702,258175.0,258176.0,0.0,0.0
random_linear,0.75,32,0.005,E0,63,1.0,1.0,0.1276495969937401,0.15311846094063164,0.16361912886133037,0.19254832683072248,0.2076054945157468,63.0,64.0,1.0,1.0
random_linear,0.75,32,0.005,E1,16,1.0,1.0,1.7081434030983047,2.00289001634197,2.0157429874402766,2.0399247782490155,2.0459702259512005,2046.0,2047.0,1.0,1.0
random_linear,0.75,32,0.005,E2,1,1.0,1.0,1.5486450016154816,1.5486450016154816,1.5486450016154816,1.5486450016154816,1.5486450016154816,2047.0,2047.0,1.0,1.0
random_linear,0.75,48,0.005,E0,66,1.0,1.0,0.00831119964277515,0.0251269587597229,0.03556140307998195,0.04799699390938845,0.0508867434901378,94.0,96.0,1.0,0.24242424242424243
random_linear,0.75,48,0.005,E1,13,1.0,1.0,0.1079042594559403,0.10946761029762184,0.11018913815267432,0.11093679501093598,0.1111237092255014,4605.0,4608.0,1.0,0.9230769230769231
random_linear,0.75,48,0.005,E2,1,1.0,1.0,4.159792314760536,4.159792314760536,4.159792314760536,4.159792314760536,4.159792314760536,108377.0,108377.0,1.0,1.0
random_linear,0.75,64,0.005,E0,444,1.0,1.0,0.0040525183435738,0.016744661967694658,0.02139780541002802,0.03333453785070124,0.0352378469756933,127.0,128.0,0.0,0.0
random_linear,0.75,64,0.005,E1,133,1.0,1.0,0.004122784537895,0.011686125107305817,0.015347992339983317,0.020796785878565788,0.022515970379471,8190.0,8192.0,0.0,0.0
random_linear,0.75,64,0.005,E2,22,1.0,1.0,0.010573700502488851,0.02145863258030386,0.024011254509448302,0.03110324964554145,0.0329536396130951,258173.5,258176.0,0.0,0.0
random_linear,0.75,64,0.005,E3PLUS,1,1.0,1.0,0.061624584922487,0.061624584922487,0.061624584922487,0.061624584922487,0.061624584922487,5341177.0,5341177.0,0.0,0.0
random_linear,0.75,32,0.01,E0,65,1.0,1.0,0.1268913405840478,0.16231965508571006,0.17374261272489802,0.19861874085605857,0.2189446868333217,62.0,64.0,1.0,1.0
random_linear,0.75,32,0.01,E1,13,1.0,1.0,1.5976692956622645,1.7818856873202538,1.8124861037505138,1.842466039673717,1.8499610236545176,2045.0,2048.0,1.0,1.0
random_linear,0.75,32,0.01,E2,2,1.0,1.0,1.5341911181395727,1.6654669991260764,1.6818764842493894,1.6950040723480397,1.6982859693727024,2045.5,2046.85,1.0,1.0
random_linear,0.75,48,0.01,E0,54,1.0,1.0,0.010983848798287801,0.0401841133874941,0.045057984770580345,0.05111379808181869,0.0556327691390303,94.0,96.0,1.0,0.24074074074074073
random_linear,0.75,48,0.01,E1,23,1.0,1.0,0.1026468254710596,0.10790317021260988,0.10911506483446479,0.1123894923050915,0.113286711196295,4606.0,4608.0,1.0,1.0
random_linear,0.75,48,0.01,E2,3,1.0,1.0,2.1536741580486747,2.493613582841733,2.5361060109408653,2.570099953420171,2.5785984390399976,108377.0,108379.7,1.0,1.0
random_linear,0.75,64,0.01,E0,317,1.0,1.0,0.0048480703246717,0.019944586699059002,0.0227229232109884,0.033929164357531245,0.0351219685838567,126.0,128.0,0.0,0.0
random_linear,0.75,64,0.01,E1,195,1.0,1.0,0.0042509582880632,0.013772442071281355,0.017845132361340228,0.021738391989641906,0.0239436108542772,8190.0,8192.0,0.0,0.0
random_linear,0.75,64,0.01,E2,70,1.0,1.0,0.009526084247160099,0.020650664811114813,0.023859760441083015,0.027593708142923917,0.0278863912040173,258173.0,258176.0,0.0,0.0
random_linear,0.75,64,0.01,E3PLUS,18,1.0,1.0,0.0065970052196599,0.02364256306095871,0.027293434242532087,0.04121057219501599,0.044689856683137,258175.0,1020626.4499999927,0.0,0.0
random_linear,0.875,32,0.002,E0,76,1.0,1.0,0.38797067733727625,0.5075026627410304,0.5395586539768229,0.5910004328386067,0.6528846485034272,62.0,64.0,1.0,1.0
random_linear,0.875,32,0.002,E1,4,1.0,1.0,0.38285678422268704,0.46707679937596236,0.4767609249330611,0.4845082253787401,0.4864450504901599,63.0,64.0,1.0,1.0
random_linear,0.875,48,0.002,E0,78,1.0,1.0,0.11556165716479966,0.1528728654418814,0.18861771904337798,0.2504122121977166,0.2973953096446175,94.0,96.0,1.0,1.0
random_linear,0.875,48,0.002,E1,2,1.0,1.0,0.4802559656909061,0.7977471596677529,0.8374335589148587,0.8691826783125434,0.8771199581619645,2349.5,4377.65,1.0,1.0
random_linear,0.875,64,0.002,E0,535,1.0,1.0,0.0406802915857889,0.05610855341312252,0.059740739218896347,0.0671205831620253,0.0843545489795756,126.0,128.0,1.0,1.0
random_linear,0.875,64,0.002,E1,64,1.0,1.0,0.9133591593039341,1.0113797564883464,1.1091758865453132,1.1775722276274083,1.2156815040436764,8187.0,8190.0,1.0,1.0
random_linear,0.875,64,0.002,E2,1,1.0,1.0,0.9663707410389856,0.9663707410389856,0.9663707410389856,0.9663707410389856,0.9663707410389856,8188.0,8188.0,1.0,1.0
random_linear,0.875,32,0.005,E0,69,1.0,1.0,0.3795351217896606,0.49743745136777195,0.5389882340576113,0.6289259876535888,0.7237814083899493,61.0,64.0,1.0,1.0
random_linear,0.875,32,0.005,E1,11,1.0,1.0,0.4232787330389017,0.4566919546193307,0.4643095118930243,0.47040355771197906,0.4719270691667178,62.0,64.0,1.0,1.0
random_linear,0.875,48,0.005,E0,57,1.0,1.0,0.1188967125832549,0.18890894637947958,0.19886615442319333,0.22671552550672425,0.2450410611460063,94.0,96.0,1.0,1.0
random_linear,0.875,48,0.005,E1,19,1.0,1.0,0.1361122357311777,0.8573951940096238,0.8803157609228817,0.887020680300004,0.8886969101442846,95.0,4603.1,1.0,1.0
random_linear,0.875,48,0.005,E2,4,1.0,1.0,0.8229210041710622,0.8825971161856933,0.8898073073944455,0.8955754603614472,0.8970174986031977,4601.5,4602.85,1.0,1.0
random_linear,0.875,64,0.005,E0,432,1.0,1.0,0.04181226736556905,0.05631085060323238,0.05921903690844931,0.07130915887207959,0.0880267710768325,127.0,128.0,1.0,1.0
random_linear,0.875,64,0.005,E1,148,1.0,1.0,0.9189301196609949,1.0009668304673076,1.040514969150434,1.1405832909581122,1.1792643593348788,8187.0,8190.0,1.0,1.0
random_linear,0.875,64,0.005,E2,20,1.0,1.0,0.9324234084178986,1.0397114190867793,1.0542595068318898,1.137828926069508,1.158721280878913,8188.0,8190.0,1.0,1.0
random_linear,0.875,32,0.01,E0,63,1.0,1.0,0.3943782065178119,0.5081517867183553,0.5471727556906109,0.6694710822814748,0.7735917089050975,61.0,64.0,1.0,1.0
random_linear,0.875,32,0.01,E1,16,1.0,1.0,0.40991786899468263,0.7435266975313286,0.7828036518103254,0.84647769681851,0.8623962080705563,63.0,2042.5,1.0,1.0
random_linear,0.875,32,0.01,E2,1,1.0,1.0,0.2290961177025807,0.2290961177025807,0.2290961177025807,0.2290961177025807,0.2290961177025807,64.0,64.0,1.0,1.0
random_linear,0.875,48,0.01,E0,54,1.0,1.0,0.1163208513362043,0.16013433223991574,0.18490977285913077,0.23157072291266267,0.2455562071082361,94.0,96.0,1.0,1.0
random_linear,0.875,48,0.01,E1,20,1.0,1.0,0.7567028574884742,0.8399305570903237,0.8872913333880535,0.9428032627836948,0.9566812451326052,4599.5,4604.0,1.0,1.0
random_linear,0.875,48,0.01,E2,5,1.0,1.0,0.0830610406105146,0.5423573460279432,0.6823366886363418,0.7943201627230609,0.8223160312447407,96.0,3702.399999999999,1.0,1.0
random_linear,0.875,48,0.01,E3PLUS,1,1.0,1.0,0.0749787704816246,0.0749787704816246,0.0749787704816246,0.0749787704816246,0.0749787704816246,95.0,95.0,1.0,1.0
random_linear,0.875,64,0.01,E0,306,1.0,1.0,0.038110029675172255,0.05154213095133505,0.055218796360109075,0.06570721129769282,0.077699869816863,126.0,128.0,1.0,1.0
random_linear,0.875,64,0.01,E1,214,1.0,1.0,0.8262113333351025,0.9077769400958359,0.9270257671038711,0.9768529311529911,1.0289272632210127,8187.0,8190.0,1.0,1.0
random_linear,0.875,64,0.01,E2,70,1.0,1.0,0.8307402186001225,0.8802681936222465,0.8833317524478366,0.902834670500035,0.9214332011200738,8187.5,8190.0,1.0,1.0
random_linear,0.875,64,0.01,E3PLUS,10,1.0,1.0,0.8424151289074979,0.9105675862287892,0.923877015871621,0.9345245595858865,0.9371864455144528,8188.5,8190.55,1.0,1.0
