family,rate,n,p,error_bucket,trials,agreement_fraction,completion_fraction,median_fiber_over_best_wall,p90_fiber_over_best_wall,p95_fiber_over_best_wall,p99_fiber_over_best_wall,maximum_fiber_over_best_wall,median_histories,p95_histories,trellis_available_fraction,trellis_best_fraction
named_crc_linear,0.75,32,0.002,E0,73,1.0,1.0,0.1162860510106513,0.13574076758089607,0.14184418459344125,0.15691427356735116,0.1578471880175887,63.0,64.0,1.0,1.0
named_crc_linear,0.75,32,0.002,E1,4,1.0,1.0,0.9295161285793185,1.9768196478343127,2.0278458043618532,2.068666729583886,2.078871960889394,1053.5,2043.85,1.0,1.0
named_crc_linear,0.75,32,0.002,E2,2,1.0,1.0,0.753604858089414,1.2551528978522042,1.317846402822553,1.3680012067988319,1.3805399077929017,1055.5,1947.85,1.0,1.0
named_crc_linear,0.75,32,0.002,E3PLUS,1,1.0,1.0,2.1465681799319447,2.1465681799319447,2.1465681799319447,2.1465681799319447,2.1465681799319447,2046.0,2046.0,1.0,1.0
named_crc_linear,0.75,48,0.002,E0,69,1.0,1.0,0.0070000672325386,0.028254714241829307,0.03324087026310618,0.043137854974870694,0.0431775580117639,95.0,96.0,1.0,0.3188405797101449
named_crc_linear,0.75,48,0.002,E1,11,1.0,1.0,0.1069755764688753,0.1096608500114853,0.11299016725889505,0.11565362105682285,0.1163194845063048,4606.0,4607.5,1.0,1.0
named_crc_linear,0.75,64,0.002,E0,519,1.0,1.0,0.0051199125706102,0.01972632516706328,0.025569520813194524,0.03464888461318529,0.0465071528152005,126.0,128.0,0.0,0.0
named_crc_linear,0.75,64,0.002,E1,72,1.0,1.0,0.005533892777926101,0.016733167693900725,0.019843802542748073,0.024277302243672253,0.0247852979829918,8190.0,8192.0,0.0,0.0
named_crc_linear,0.75,64,0.002,E2,9,1.0,1.0,0.0093778579911764,0.01896572652802304,0.021091669404364317,0.022792423705437343,0.0232176122807056,258174.0,258176.0,0.0,0.0
named_crc_linear,0.75,32,0.005,E0,70,1.0,1.0,0.1160300350887172,0.12688848302084588,0.13321033861669146,0.14671079991727892,0.1532980406309271,63.0,64.0,1.0,1.0
named_crc_linear,0.75,32,0.005,E1,10,1.0,1.0,1.7564016258606086,1.9186749226833886,1.9901872627099055,2.0473971347311197,2.061699602736423,2046.0,2047.0,1.0,1.0
named_crc_linear,0.75,48,0.005,E0,66,1.0,1.0,0.006547481645707001,0.0301091667736025,0.0375901257075712,0.04602571764064794,0.0460593340431562,95.0,96.0,1.0,0.3939393939393939
named_crc_linear,0.75,48,0.005,E1,10,1.0,1.0,0.1084113672943808,0.11183448457130671,0.11627478070101904,0.11982701760478894,0.1207150768307314,4606.5,4607.55,1.0,1.0
named_crc_linear,0.75,48,0.005,E2,3,1.0,1.0,2.364509728610539,2.415874394454991,2.4222949776855476,2.4274314442699927,2.428715560916104,108380.0,108380.0,1.0,1.0
named_crc_linear,0.75,48,0.005,E3PLUS,1,1.0,1.0,0.1103320611097561,0.1103320611097561,0.1103320611097561,0.1103320611097561,0.1103320611097561,4604.0,4604.0,1.0,1.0
named_crc_linear,0.75,64,0.005,E0,414,1.0,1.0,0.005028580614122849,0.02039779774077943,0.023726575989846663,0.03274176409973416,0.0392875259348126,127.0,128.0,0.0,0.0
named_crc_linear,0.75,64,0.005,E1,164,1.0,1.0,0.0051654173785033,0.01580410131895588,0.01980877656197039,0.02346363531136813,0.0241496815240383,8190.0,8192.0,0.0,0.0
named_crc_linear,0.75,64,0.005,E2,20,1.0,1.0,0.012139682477807251,0.025619940580947534,0.02941634201784932,0.03136406087100034,0.0318509905842881,258172.5,258175.05,0.0,0.0
named_crc_linear,0.75,64,0.005,E3PLUS,2,1.0,1.0,0.025481410417103202,0.043178267290184084,0.045390374399319186,0.04716006008662728,0.0476024815084543,2799678.0,5087029.8,0.0,0.0
named_crc_linear,0.75,32,0.01,E0,51,1.0,1.0,0.1211706162673841,0.1366932283564557,0.140881073137508,0.1665935697849359,0.1873816405860659,62.0,64.0,1.0,1.0
named_crc_linear,0.75,32,0.01,E1,24,1.0,1.0,1.8500544008018323,2.1026153039903455,2.1121085394245833,2.123816416964259,2.127231698006764,2045.5,2047.85,1.0,1.0
named_crc_linear,0.75,32,0.01,E2,3,1.0,1.0,1.7395135505952457,1.8087150319610263,1.817365217131749,1.824285365268327,1.8260154023024715,2047.0,2047.9,1.0,1.0
named_crc_linear,0.75,32,0.01,E3PLUS,2,1.0,1.0,1.8535059802968954,1.892666548742912,1.897561619798664,1.9014776766432657,1.902456690854416,2046.0,2046.0,1.0,1.0
named_crc_linear,0.75,48,0.01,E0,50,1.0,1.0,0.00736370991957635,0.02586987580895578,0.032115420397678236,0.03746903003801238,0.0403083546287532,95.0,96.0,1.0,0.3
named_crc_linear,0.75,48,0.01,E1,23,1.0,1.0,0.1028064632421402,0.17160447486765487,0.18756789077558417,0.19307012118538833,0.1941500547713883,4605.0,4608.0,1.0,1.0
