family,rate,n,p,trials,positive_error_trials,agreement_fraction,completion_fraction,median_fiber_over_best_wall,median_ratio_ci95_low,median_ratio_ci95_high,p90_fiber_over_best_wall,p95_fiber_over_best_wall,p99_fiber_over_best_wall,p99_ratio_ci95_low,p99_ratio_ci95_high,maximum_fiber_over_best_wall,median_fiber_wall,median_prefix_wall,median_trellis_wall,median_best_baseline_wall,prefix_best_fraction,trellis_best_fraction,trellis_available_fraction,trellis_certified_fraction,trellis_estimated_updates,median_histories,p95_histories,p99_histories,median_membership_queries,median_prefix_nodes,typical_threshold_p,mean_threshold_p,predicted_typical_favorable,predicted_mean_favorable
named_crc_linear,0.875,48,0.002,80,6,1.0,1.0,0.1624265956818277,0.15130618438957327,0.1748770464223561,0.22070090138906023,0.24107934821939295,0.7312592996958198,0.2421302220999629,0.7492523618568612,0.7492523618568612,6.655349999999999e-05,0.009802231500000001,0.00044892449999995004,0.00044892449999995004,0.0,1.0,1.0,1.0,294912,95.0,96.0,4602.21,48.5,285.0,0.017128655076726555,0.002052123629441953,True,True
named_crc_linear,0.875,64,0.002,600,78,1.0,1.0,0.03465035719163445,0.0342285909311902,0.03511433589978335,0.04447895625820991,0.9323381358612158,1.0191688597264175,0.9727786677304544,1.058393934939087,1.067014779134789,8.478199999999999e-05,0.025509187500000002,0.002577072,0.00257622349999995,0.013333333333333334,0.9866666666666667,1.0,1.0,2097152,127.0,8187.0,8189.0,64.0,537.0,0.017128655076726555,0.002052123629441953,True,True
named_crc_linear,0.875,32,0.005,80,9,1.0,1.0,0.4124610021670597,0.38821030254713085,0.4399039183757856,0.5316414420211825,0.5954119758295728,0.7357375775030656,0.7087332496608104,0.7501512917330788,0.7501512917330788,6.306850000000001e-05,0.0025049134999999504,0.0001455785,0.0001455785,0.0,1.0,1.0,1.0,32768,62.0,64.0,2043.21,32.5,122.5,0.017128655076726555,0.002052123629441953,True,False
named_crc_linear,0.875,48,0.005,80,20,1.0,1.0,0.17114273831402793,0.1545059939518214,0.19008064991686396,0.713421236985447,0.7306905383080151,0.7901306502864972,0.7638062534667439,0.8212580734740855,0.8212580734740855,6.668e-05,0.010188734,0.0004703975,0.0004703975,0.0,1.0,1.0,1.0,294912,95.0,4602.05,4604.0,48.5,299.5,0.017128655076726555,0.002052123629441953,True,False
named_crc_linear,0.875,64,0.005,600,192,1.0,1.0,0.036705819743190204,0.03633319908528567,0.03743009274628045,0.9580846074458007,0.9855331655259268,1.0288949347464826,1.0189793904817408,1.04426833312462,1.1506935890365777,8.9578e-05,0.0362121119999999,0.0026741884999999504,0.00267366899999995,0.006666666666666667,0.9933333333333333,1.0,1.0,2097152,127.0,8189.0,8190.0,65.0,731.5,0.017128655076726555,0.002052123629441953,True,False
named_crc_linear,0.875,32,0.01,80,24,1.0,1.0,0.42170311631321344,0.3981386358620794,0.4459898747668531,0.5467767511973696,0.6050043003986937,0.7335067026812444,0.6111103623032133,0.7566998330973432,0.7566998330973432,5.6118e-05,0.0028238819999999503,0.00013922849999995,0.00013922849999995,0.0,1.0,1.0,1.0,32768,62.0,64.0,2042.21,32.0,138.0,0.017128655076726555,0.002052123629441953,True,False
named_crc_linear,0.875,48,0.01,80,29,1.0,1.0,0.16683904740983574,0.15695133146796464,0.1817908734079196,0.6940851644093724,0.7143542886829185,0.7346390226606666,0.7164940949350364,0.7726801650310839,0.7726801650310839,7.753949999999998e-05,0.01097755649999995,0.00046585899999995,0.00046585899999995,0.0,1.0,1.0,1.0,294912,95.0,4604.0,4604.0,49.0,332.5,0.017128655076726555,0.002052123629441953,True,False
named_crc_linear,0.875,64,0.01,600,292,1.0,1.0,0.03504677970101735,0.03425171756440412,0.03587225441156175,0.8716624912313482,0.8953863924311508,0.9411746431594646,0.9255767025845574,1.0533185758522312,1.1530855266780933,8.64545e-05,0.050367071,0.00281308299999995,0.0027996169999999,0.015,0.985,1.0,1.0,2097152,128.0,8189.0,8190.0,65.0,1118.0,0.017128655076726555,0.002052123629441953,True,False
random_linear,0.75,32,0.002,80,5,1.0,1.0,0.12230088052043381,0.1180977135295199,0.12514249555947365,0.15713213336075824,1.5675504536256386,1.9760753829788407,1.633529071800104,2.109515149946286,2.109515149946286,3.9518500000000005e-05,0.0019769124999999,0.00033019799999995,0.00033019799999995,0.0,1.0,1.0,1.0,524288,62.5,2045.0,2046.21,32.0,107.0,0.041692690273656685,0.009031399264589637,True,True
random_linear,0.75,48,0.002,80,7,1.0,1.0,0.0088093453281619,0.0058835055680923,0.0116108235073121,0.03947936821693704,0.10621783932254196,0.10877950743281892,0.1071687863044709,0.1116234873681335,0.1116234873681335,6.164899999999999e-05,0.010337017999999951,0.0138450225,0.010337017999999951,0.6875,0.3125,1.0,1.0,18874368,95.0,4605.05,4607.21,49.0,319.5,0.041692690273656685,0.009031399264589637,True,True
random_linear,0.75,64,0.002,600,80,1.0,1.0,0.00432186501730505,0.0040355837789205,0.004824964455513151,0.020161746628085963,0.026107895906076567,0.03430191166827377,0.0332670230661886,0.0363628016558471,0.0396768471354391,7.95945e-05,0.0216250709999999,,0.0216250709999999,1.0,0.0,0.0,0.0,536870912,127.0,8191.0,8192.0,65.0,499.5,0.041692690273656685,0.009031399264589637,True,True
random_linear,0.75,32,0.005,80,17,1.0,1.0,0.13076181941557868,0.1265882096875122,0.1346980732230963,1.7054927602303214,1.8806344868747518,2.014130868053027,1.9353816482287984,2.0459702259512005,2.0459702259512005,4.0617e-05,0.00342727999999995,0.00032626049999995,0.00032626049999995,0.0,1.0,1.0,1.0,524288,63.0,2046.05,2047.0,33.0,175.0,0.041692690273656685,0.009031399264589637,True,True
random_linear,0.75,48,0.005,80,14,1.0,1.0,0.011001462677922,0.0082291876478348,0.013772912841904,0.10701276590390198,0.10882600463957381,0.9613441163878333,0.1090736884049508,4.159792314760536,4.159792314760536,6.3182e-05,0.009078581,0.013852625,0.008879457499999951,0.6375,0.3625,1.0,1.0,18874368,95.0,4607.05,26399.48999999935,49.0,282.5,0.041692690273656685,0.009031399264589637,True,True
random_linear,0.75,64,0.005,600,156,1.0,1.0,0.0041976550668259005,0.0038997604576081002,0.0046396662221751,0.016267118575634325,0.020938147350754662,0.032632161435562905,0.0301165461495713,0.0347519641942492,0.0352378469756933,8.40285e-05,0.03210181349999995,,0.03210181349999995,1.0,0.0,0.0,0.0,536870912,127.0,8192.0,258175.0,65.0,698.0,0.041692690273656685,0.009031399264589637,True,True
random_linear,0.75,32,0.01,80,15,1.0,1.0,0.13020357847112066,0.1254628246869101,0.13333539619648005,1.584486911442076,1.7005433664241216,1.8006190457809121,1.7434339104010894,1.8499610236545176,1.8499610236545176,4.11925e-05,0.0024135659999999504,0.000331522,0.000331522,0.0,1.0,1.0,1.0,524288,63.0,2047.0,2048.0,32.5,116.5,0.041692690273656685,0.009031399264589637,True,False
random_linear,0.75,48,0.01,80,26,1.0,1.0,0.0180687977982711,0.01232340787916595,0.03958970840059315,0.10503628830450583,0.10832134610086196,2.24290825705685,0.1092084435090063,2.5785984390399976,2.5785984390399976,6.134399999999999e-05,0.0124345285,0.01386615899999995,0.01231890499999995,0.5125,0.4875,1.0,1.0,18874368,95.0,4608.0,108377.63,49.0,384.5,0.041692690273656685,0.009031399264589637,True,False
random_linear,0.75,64,0.01,600,283,1.0,1.0,0.00500032526957665,0.004492477812841849,0.005634281837223551,0.018852217464985173,0.02185813021916098,0.03344311486050938,0.0271776942218677,0.0351219685838567,0.0432434462778433,8.2968e-05,0.0510455385,,0.0510455385,1.0,0.0,0.0,0.0,536870912,128.0,258174.0,258176.0,65.0,1148.0,0.041692690273656685,0.009031399264589637,True,False
random_linear,0.875,32,0.002,80,4,1.0,1.0,0.38797067733727625,0.344722112403504,0.4037359710861707,0.5064146397840208,0.5385941456595712,0.5876999413364825,0.5431755601665165,0.6528846485034272,0.6528846485034272,5.75775e-05,0.0020237544999999503,0.00015885649999995,0.00015885649999995,0.0,1.0,1.0,1.0,32768,62.0,64.0,64.0,32.0,107.0,0.017128655076726555,0.002052123629441953,True,True
random_linear,0.875,48,0.002,80,2,1.0,1.0,0.11556165716479966,0.1078954888826182,0.12342184664545675,0.15836488745841398,0.19210098649704585,0.4191374858332568,0.2233963774181975,0.8771199581619645,0.8771199581619645,7.924849999999999e-05,0.008118415499999952,0.0006805380000000001,0.0006805380000000001,0.0,1.0,1.0,1.0,294912,94.0,96.0,1042.4699999999718,48.0,245.0,0.017128655076726555,0.002052123629441953,True,True
random_linear,0.875,64,0.002,600,65,1.0,1.0,0.0415346744039363,0.04081137814259015,0.04233489631250502,0.06506308026702766,0.9249281509564764,1.0124643222220238,0.9806285873819724,1.1551905890972194,1.2156815040436764,8.459799999999999e-05,0.026441547500000002,0.0021355799999999998,0.0021355799999999998,0.0,1.0,1.0,1.0,2097152,127.0,8187.0,8189.01,64.0,566.5,0.017128655076726555,0.002052123629441953,True,True
random_linear,0.875,32,0.005,80,11,1.0,1.0,0.38847290134998097,0.3553703305549583,0.4131947723280893,0.4926322187134384,0.5370441196598208,0.6135817284168248,0.5404021354378227,0.7237814083899493,0.7237814083899493,6.425349999999999e-05,0.001761158,0.0001797615,0.0001797615,0.0,1.0,1.0,1.0,32768,62.0,64.0,64.0,32.0,89.5,0.017128655076726555,0.002052123629441953,True,False
random_linear,0.875,48,0.005,80,23,1.0,1.0,0.12013520088934984,0.11378875132280784,0.1344128524277249,0.6812016224057716,0.8490969724500357,0.8904442337206563,0.851897861981904,0.8970174986031977,0.8970174986031977,7.841699999999999e-05,0.01065081549999995,0.0006529939999999,0.0006529939999999,0.0,1.0,1.0,1.0,294912,95.0,4602.05,4603.21,48.5,325.0,0.017128655076726555,0.002052123629441953,True,False
random_linear,0.875,64,0.005,600,168,1.0,1.0,0.0443491039139918,0.0433733198589346,0.04537759973422203,0.9363361998011567,0.9677710020008531,1.0537139179213744,1.0374433300912564,1.1617955354901055,1.1792643593348788,8.679699999999999e-05,0.03519565399999995,0.00214660299999995,0.00214660299999995,0.0,1.0,1.0,1.0,2097152,127.0,8189.0,8190.0,65.0,720.0,0.017128655076726555,0.002052123629441953,True,False
random_linear,0.875,32,0.01,80,17,1.0,1.0,0.39633102630012873,0.3717761550843745,0.42885681204959136,0.525861688776964,0.6119114834002767,0.7922406537298433,0.7307805953390754,0.8623962080705563,0.8623962080705563,6.8736e-05,0.0021412154999999,0.0001787645,0.0001787645,0.0,1.0,1.0,1.0,32768,62.0,64.0,2042.42,32.0,103.0,0.017128655076726555,0.002052123629441953,True,False
random_linear,0.875,48,0.01,80,26,1.0,1.0,0.11868478368394064,0.10787628195450456,0.13425719623862,0.7754547335637964,0.8191981535030559,0.8989780553660828,0.8223160312447407,0.9566812451326052,0.9566812451326052,7.736050000000001e-05,0.009622634000000001,0.000718163,0.000718163,0.0,1.0,1.0,1.0,294912,95.0,4603.0,4604.0,48.0,298.5,0.017128655076726555,0.002052123629441953,True,False
random_linear,0.875,64,0.01,600,294,1.0,1.0,0.04648338346289775,0.0430473269061559,0.049096352448869056,0.8791762720235672,0.9025337178655773,0.9542340914833138,0.9273839757094672,1.002692119726442,1.0289272632210127,9.3547e-05,0.04598202999999995,0.0022517954999999503,0.0022517954999999503,0.0,1.0,1.0,1.0,2097152,128.0,8190.0,8190.0,65.0,1020.5,0.017128655076726555,0.002052123629441953,True,False
