family,rate,n,p,trials,positive_error_trials,agreement_fraction,completion_fraction,median_fiber_over_best_wall,median_ratio_ci95_low,median_ratio_ci95_high,p90_fiber_over_best_wall,p95_fiber_over_best_wall,p99_fiber_over_best_wall,p99_ratio_ci95_low,p99_ratio_ci95_high,maximum_fiber_over_best_wall,median_fiber_wall,median_prefix_wall,median_trellis_wall,median_best_baseline_wall,prefix_best_fraction,trellis_best_fraction,trellis_available_fraction,trellis_certified_fraction,trellis_estimated_updates,median_histories,p95_histories,p99_histories,median_membership_queries,median_prefix_nodes,typical_threshold_p,mean_threshold_p,predicted_typical_favorable,predicted_mean_favorable
named_crc_linear,0.75,32,0.002,80,7,1.0,1.0,0.11711955110300026,0.11572460168776721,0.119402562853909,0.14178139958995076,0.21898182400635088,2.093088166888329,1.3805399077929017,2.1465681799319447,2.1465681799319447,4.01345e-05,0.00292223849999995,0.00034776399999999997,0.00034776399999999997,0.0,1.0,1.0,1.0,524288,63.0,162.94999999999436,2046.21,33.0,153.5,0.041692690273656685,0.009031399264589637,True,True
named_crc_linear,0.75,48,0.002,80,11,1.0,1.0,0.008560835572085049,0.0059171609045015,0.01205755663603335,0.10365482967790417,0.1072858452807907,0.11105916325539736,0.1075263155572698,0.1163194845063048,0.1163194845063048,6.17445e-05,0.01080881,0.0138343734999999,0.01080881,0.5875,0.4125,1.0,1.0,18874368,95.0,4606.05,4607.21,49.0,332.5,0.041692690273656685,0.009031399264589637,True,True
named_crc_linear,0.75,64,0.002,600,81,1.0,1.0,0.005168576853906899,0.0046937249253096,0.005838999034195662,0.019541037235447964,0.02471308619754199,0.03427980833627441,0.0326248297253411,0.0369027774473125,0.0465071528152005,8.078049999999999e-05,0.0203992015,,0.0203992015,1.0,0.0,0.0,0.0,536870912,127.0,8191.0,258173.0,65.0,466.5,0.041692690273656685,0.009031399264589637,True,True
named_crc_linear,0.75,32,0.005,80,10,1.0,1.0,0.11690773758363604,0.11437205217512014,0.1198527061179436,0.14858740363865616,1.7671977570832242,1.9361557169120918,1.7814120585104247,2.061699602736423,2.061699602736423,4.02035e-05,0.003018564,0.00034537,0.00034537,0.0,1.0,1.0,1.0,524288,63.0,2046.0,2047.0,33.0,156.5,0.041692690273656685,0.009031399264589637,True,True
named_crc_linear,0.75,48,0.005,80,14,1.0,1.0,0.009181465908978548,0.0060404680155095505,0.0125505411088564,0.1086735249547327,0.11104543892797843,2.377992953394707,0.1148014886968603,2.428715560916104,2.428715560916104,6.3457e-05,0.013816473499999999,0.0142386705,0.01340931949999995,0.5,0.5,1.0,1.0,18874368,95.0,4607.05,108380.0,49.0,435.5,0.041692690273656685,0.009031399264589637,True,True
named_crc_linear,0.75,64,0.005,600,186,1.0,1.0,0.0052461202487667,0.0046048240528044505,0.005896952163930137,0.0196528305199253,0.023128637862957754,0.03260753199445419,0.0302594031252065,0.0392875259348126,0.0472641778819914,0.00011062249999995,0.03826377749999995,,0.03826377749999995,1.0,0.0,0.0,0.0,536870912,127.0,8192.0,258174.0,65.0,640.0,0.041692690273656685,0.009031399264589637,True,True
named_crc_linear,0.75,32,0.01,80,29,1.0,1.0,0.1294064462993389,0.1224471472607996,0.1387238088890878,1.9054539602436302,2.061823735919623,2.1155009500781587,2.084088772197485,2.127231698006764,2.127231698006764,4.4791e-05,0.0039754259999999,0.00036984799999995,0.00036984799999995,0.0,1.0,1.0,1.0,524288,63.0,2047.0,2048.0,33.0,192.5,0.041692690273656685,0.009031399264589637,True,False
named_crc_linear,0.75,48,0.01,80,30,1.0,1.0,0.01414354906854075,0.009272151829312,0.033740769637896253,0.16395422020358566,0.31297462412891147,3.653909124413733,2.5706414419219867,4.227832417923911,4.227832417923911,6.08015e-05,0.018275734999999953,0.0140756864999999,0.011969837,0.4375,0.5625,1.0,1.0,18874368,96.0,9796.599999999704,108382.21,49.0,546.5,0.041692690273656685,0.009031399264589637,True,False
named_crc_linear,0.75,64,0.01,600,285,1.0,1.0,0.0045090396478964494,0.0041646739493448,0.0050444478035275,0.019067884875271304,0.022947701170351387,0.03456470137979678,0.0294507925312285,0.0496760862894564,0.0528204261120351,7.956699999999999e-05,0.05107848599999995,,0.05107848599999995,1.0,0.0,0.0,0.0,536870912,128.0,258174.0,258176.0,65.0,1180.5,0.041692690273656685,0.009031399264589637,True,False
named_crc_linear,0.875,32,0.002,80,2,1.0,1.0,0.40813755649417016,0.38764374518358385,0.4232820528049675,0.5080407010749848,0.5341290114691041,0.6004981600862966,0.535310073332613,0.630294584130242,0.630294584130242,6.109050000000001e-05,0.00184167999999995,0.0001488355,0.0001488355,0.0,1.0,1.0,1.0,32768,62.0,64.0,64.0,32.0,97.5,0.017128655076726555,0.002052123629441953,True,True
