n,trials,agreement_fraction,median_fiber_over_vt_wall,p95_fiber_over_vt_wall,median_fiber_histories,median_vt_candidate_checks
15,20,1.0,19.834961676778693,29.478604880289733,28.0,5.5
31,20,1.0,42.31285506345771,47.243034975034554,60.0,12.5
63,20,1.0,82.53524093102558,91.78009684662756,123.0,28.5
127,20,1.0,172.80718958918283,264.44439840916533,253.0,55.5
