family,rate,p,fiber_wall_log2_slope,best_baseline_wall_log2_slope,fiber_minus_best_slope,ratio_log2_slope,trellis_available_all_lengths,reference_policy_consistent,predicted_typical_favorable,predicted_mean_favorable
named_crc_linear,0.75,0.002,0.031536379729013596,0.18357063362161344,-0.15203425389259984,-0.14068971949345266,False,False,True,True
named_crc_linear,0.75,0.005,0.045632870085077035,0.2122403976920371,-0.16660752760696007,-0.1399367416082512,False,False,True,True
named_crc_linear,0.75,0.01,0.02590504151570608,0.22217623371146883,-0.19627119219576275,-0.1513420462564246,False,False,True,False
named_crc_linear,0.875,0.002,0.014775310985231212,0.12854584930858276,-0.11377053832335154,-0.11119104196404553,True,True,True,True
named_crc_linear,0.875,0.005,0.015819526080833358,0.1312172394177017,-0.11539771333686834,-0.10906803103819017,True,True,True,False
named_crc_linear,0.875,0.01,0.019483670794623882,0.13530321900510467,-0.1158195482104808,-0.11215230908043966,True,True,True,False
random_linear,0.75,0.002,0.0315668923719044,0.18853842741599716,-0.15697153504409275,-0.1507074052071027,False,False,True,True
random_linear,0.75,0.005,0.03277484517451546,0.20689020805776917,-0.17411536288325372,-0.15503793514277625,False,False,True,True
random_linear,0.75,0.01,0.03156791632678283,0.22707926405698314,-0.19551134773020032,-0.14695635451781297,False,False,True,False
random_linear,0.875,0.002,0.01734745024552038,0.11715099735605934,-0.09980354711053896,-0.10073623337949097,True,True,True,True
random_linear,0.875,0.005,0.01355844176621531,0.11180935705550597,-0.09825091528929067,-0.09783865951212867,True,True,True,False
random_linear,0.875,0.01,0.01389454654213773,0.11421698877835576,-0.10032244223621803,-0.0966224663085934,True,True,True,False
