family,code_name,rate,n,k,p,trial,error_weight,deleted_position,agreement,fiber_certified,prefix_certified,trellis_available,trellis_certified,fiber_wall,prefix_wall,trellis_wall,best_baseline_wall,best_baseline_name,fiber_over_prefix_wall,fiber_over_best_wall,fiber_histories,fiber_candidates,fiber_duplicates,fiber_membership,fiber_exact_scores,fiber_peak_seen,fiber_peak_frontier,prefix_nodes,prefix_membership,prefix_exact_scores,prefix_peak_frontier,trellis_estimated_updates,trellis_nodes,trellis_updates,trellis_terminals,trellis_exact_scores
random_linear,RLC_n64_k48,0.75,64,48,0.005,561,3,56,0,0,1,0,0,0.8700711009999998,43.266728938,0.0,43.266728938,PREFIX_ASTAR,0.0201094726214867,0.0201094726214867,2000000,851025,1148975,851025,14,851025,64,876230,1,1,721816,536870912,0,0,0,0
random_linear,RLC_n64_k48,0.75,64,48,0.01,31,3,38,0,0,0,0,0,0.7495474509999999,47.804057234,0.0,inf,PREFIX_ASTAR,0.0156795781439842,0.0,2000000,890372,1109628,890372,16,890372,64,1000000,0,0,835486,536870912,0,0,0,0
named_crc_linear,CRC_n64_k48_CRC-16/CCITT-like,0.75,64,48,0.005,382,3,53,0,0,0,0,0,0.92180113,52.659033484,0.0,inf,PREFIX_ASTAR,0.0175050901813471,0.0,2000000,889488,1110512,889488,11,889488,64,1000000,0,0,833516,536870912,0,0,0,0
named_crc_linear,CRC_n64_k48_CRC-16/CCITT-like,0.75,64,48,0.01,105,3,62,0,0,1,0,0,0.8990659819999999,47.841044834,0.0,47.841044834,PREFIX_ASTAR,0.0187927748049734,0.0187927748049734,2000000,890141,1109859,890141,16,890141,64,967158,1,1,809063,536870912,0,0,0,0
named_crc_linear,CRC_n64_k48_CRC-16/CCITT-like,0.75,64,48,0.01,185,3,51,0,0,0,0,0,0.7338721649999999,46.266301292,0.0,inf,PREFIX_ASTAR,0.0158619155736768,0.0,2000000,892678,1107322,892678,12,892678,64,1000000,0,0,835271,536870912,0,0,0,0
named_crc_linear,CRC_n64_k48_CRC-16/CCITT-like,0.75,64,48,0.01,296,3,60,0,0,1,0,0,0.7261121499999998,43.013388505,0.0,43.013388505,PREFIX_ASTAR,0.0168810729690732,0.0168810729690732,2000000,891305,1108695,891305,14,891305,64,928725,1,1,776437,536870912,0,0,0,0
named_crc_linear,CRC_n64_k48_CRC-16/CCITT-like,0.75,64,48,0.01,314,3,15,0,0,1,0,0,0.716889267,46.255615695,0.0,46.255615695,PREFIX_ASTAR,0.0154984266500098,0.0154984266500098,2000000,885834,1114166,885834,10,885834,64,998506,1,1,830048,536870912,0,0,0,0
