channel,family,nonadditive,representations,best_balanced_work,worst_balanced_work,variation_ratio,independent_balanced_work,independent_to_best_ratio,best_representation
AES_INJECTIVE_FRIENDLY,asymmetric_erasure_stuck,True,13,10.225,19.5,1.9070904645476774,19.5,1.9070904645476774,LP_MIN_AMBIGUITY__reduced__reduced
AES_OVERLOADED_ERASURE,asymmetric_erasure_stuck,True,10,16.0,32.2,2.0125,32.2,2.0125,COMMON_UNIFORM_010__reduced__reduced
BAC_a0.100_b0.250,binary_asymmetric,True,12,7.65,7.699999999999999,1.006535947712418,7.699999999999999,1.006535947712418,COMMON_UNIFORM_000__reduced__reduced
BAC_a0.200_b0.350,binary_asymmetric,True,12,7.65,14.1,1.8431372549019607,7.699999999999999,1.006535947712418,COMMON_UNIFORM_001__reduced__reduced
BAC_a0.300_b0.400,binary_asymmetric,True,11,7.65,22.1,2.888888888888889,14.299999999999999,1.8692810457516338,COMMON_UNIFORM_001__reduced__reduced
BEC_e0.250,erasure_control,True,9,9.225,14.65,1.5880758807588078,13.075,1.4173441734417345,COMMON_UNIFORM_000__reduced__reduced
BEC_e0.600,erasure_control,True,10,13.099999999999998,26.199999999999996,2.0,23.799999999999997,1.8167938931297711,COMMON_UNIFORM_000__reduced__reduced
BSC_p0.080,additive_control,False,8,7.6,7.7,1.0131578947368423,7.7,1.0131578947368423,COMMON_UNIFORM_001__reduced__reduced
BSC_p0.200,additive_control,False,8,7.6,7.7,1.0131578947368423,7.7,1.0131578947368423,COMMON_UNIFORM_001__reduced__reduced
DETERMINISTIC_IDENTITY,negative_control,False,1,7.55,7.55,1.0,7.55,1.0,INDEPENDENT_ROWS__reduced__reduced
RAND_2x3_00,random_rational,True,15,19.2,47.0,2.447916666666667,47.0,2.447916666666667,COMMON_UNIFORM_010__reduced__reduced
RAND_2x3_01,random_rational,True,12,20.162499999999998,49.712500000000006,2.465592064476132,49.712500000000006,2.465592064476132,COMMON_UNIFORM_001__reduced__reduced
RAND_2x3_02,random_rational,True,13,15.1,28.362499999999997,1.8783112582781456,28.362499999999997,1.8783112582781456,COMMON_UNIFORM_005__reduced__reduced
RAND_2x3_03,random_rational,True,14,15.7,40.650000000000006,2.5891719745222934,40.650000000000006,2.5891719745222934,COMMON_UNIFORM_010__reduced__reduced
RAND_2x3_04,random_rational,True,11,14.899999999999999,40.449999999999996,2.714765100671141,40.449999999999996,2.714765100671141,COMMON_UNIFORM_001__reduced__reduced
RAND_2x3_05,random_rational,True,18,23.375,49.2625,2.1074866310160427,49.2625,2.1074866310160427,COMMON_UNIFORM_006__reduced__reduced
RAND_3x3_00,random_rational,True,31,25.755555555555553,189.65,7.363459879206213,189.65,7.363459879206213,RAND_3x3_00_V_017__reduced__reduced
RAND_3x3_01,random_rational,True,32,19.53333333333333,112.69444444444443,5.769340159271899,112.69444444444443,5.769340159271899,COMMON_UNIFORM_005__reduced__reduced
USELESS_BINARY_OUTPUT,negative_control,True,3,14.45,29.549999999999997,2.0449826989619377,29.549999999999997,2.0449826989619377,COMMON_UNIFORM_000__reduced__reduced
