channel,n,mean_atom_work_balanced,median_atom_work_balanced,p95_atom_work_balanced,mean_direct_work_balanced,mean_speedup_balanced,completion_fraction,exact_fraction,mean_queries
NONCYCLIC_REVERSIBLE_ACTION_q5,3,14.165624999999999,12.15,39.0875,115.0,11.471980051301415,1.0,1.0,2.4375
NONCYCLIC_REVERSIBLE_ACTION_q5,4,21.24375,16.65,46.525,454.0,33.782567425525144,1.0,1.0,3.375
NONCYCLIC_REVERSIBLE_ACTION_q5,5,42.634375000000006,25.025,99.7125,1679.0,72.71094158876028,1.0,1.0,6.4375
NONCYCLIC_REVERSIBLE_ACTION_q5,6,119.80624999999999,37.65,459.275,6033.0,143.16749467384344,1.0,1.0,18.1875
QARY_ADDITIVE_q5,3,10.462499999999999,6.4,23.4625,115.0,14.005044438239343,1.0,1.0,1.75
QARY_ADDITIVE_q5,4,36.337500000000006,27.65,78.775,454.0,19.688311413387176,1.0,1.0,6.0625
QARY_ADDITIVE_q5,5,54.728125000000006,33.65,128.4,1679.0,71.28562767426129,1.0,1.0,8.4375
QARY_ADDITIVE_q5,6,67.05625,43.65,181.025,6033.0,168.33964662100274,1.0,1.0,9.5625
