channel,family,nonadditive,representation,support_size,latent_entropy_bits,channel_h_y_given_x_uniform_bits,transition_degeneracy_bits,uniform_fiber_ambiguity_bits,kappa,random_code_fiber_ceiling_bits_per_symbol,injective_mass,bi_unambiguous,channel_capacity_bits_per_symbol,capacity_ba_iterations,multiplicity_mean_transition_weighted,multiplicity_max,multiplicity_mean_unweighted,exact_all,best_work_optimistic,best_work_balanced,best_work_pessimistic,best_order_optimistic,best_order_balanced,best_order_pessimistic,best_balanced_atoms,best_balanced_fiber_entries,best_balanced_certified_probability,construction,is_natural_independent
BSC_p0.200,additive_control,False,COMMON_UNIFORM_000__reduced__reduced,3,1.3709505944546685,0.7219280948873623,0.6490224995673062,0.39999999999999997,1.4,0.5145731728297583,0.6000000000000001,False,0.27807190511263774,2,1.8,2.0,1.5,True,4.1,7.65,15.6,"[1, 0, 2]","[1, 0, 2]","[1, 0, 2]",1.0,1.0,1.0,common_uniform,False
BSC_p0.200,additive_control,False,COMMON_UNIFORM_001__reduced__reduced,2,0.7219280948873623,0.7219280948873623,0.0,0.0,1.0,1.0,1.0,True,0.27807190511263774,2,1.0,1.0,1.0,True,4.1,7.6,15.4,"[0, 1]","[0, 1]","[0, 1]",1.0,1.0,1.0,common_uniform,False
BSC_p0.200,additive_control,False,BAC_t0.03333333__reduced__reduced,4,1.0518384134835814,0.7219280948873623,0.3299103185962191,0.06666666666666667,1.0666666666666667,0.9068905956085186,0.9333333333333333,False,0.27807190511263774,2,2.0,2.0,2.0,True,4.1,7.7,15.8,"[1, 2, 0, 3]","[1, 2, 0, 3]","[1, 2, 0, 3]",1.0,1.0,1.0,complete_bac_interval_grid,False
BSC_p0.200,additive_control,False,BAC_t0.06666667__reduced__reduced,4,1.2366407419411674,0.7219280948873623,0.514712647053805,0.13333333333333333,1.1333333333333333,0.8194277543581792,0.8666666666666667,False,0.27807190511263774,2,2.0,2.0,2.0,True,4.1,7.7,15.8,"[1, 2, 0, 3]","[1, 2, 0, 3]","[1, 2, 0, 3]",1.0,1.0,1.0,complete_bac_interval_grid,False
BSC_p0.200,additive_control,False,BAC_t0.10000000__reduced__reduced,4,1.3567796494470397,0.7219280948873623,0.6348515545596773,0.2,1.2000000000000002,0.7369655941662059,0.8,False,0.27807190511263774,2,2.0,2.0,2.0,True,4.1,7.7,15.8,"[1, 0, 2, 3]","[1, 0, 2, 3]","[1, 0, 2, 3]",1.0,1.0,1.0,complete_bac_interval_grid,False
BSC_p0.200,additive_control,False,BAC_t0.13333333__reduced__reduced,4,1.4256051990169436,0.7219280948873623,0.7036771041295813,0.26666666666666666,1.2666666666666668,0.6589630821649328,0.7333333333333334,False,0.27807190511263774,2,2.0,2.0,2.0,True,4.1,7.7,15.8,"[1, 0, 3, 2]","[1, 0, 3, 2]","[1, 0, 3, 2]",1.0,1.0,1.0,complete_bac_interval_grid,False
BSC_p0.200,additive_control,False,BAC_t0.16666667__reduced__reduced,4,1.4425604721317935,0.7219280948873623,0.7206323772444312,0.3333333333333333,1.3333333333333335,0.5849625007211561,0.6666666666666667,False,0.27807190511263774,2,2.0,2.0,2.0,True,4.1,7.7,15.8,"[1, 0, 3, 2]","[1, 0, 3, 2]","[1, 0, 3, 2]",1.0,1.0,1.0,complete_bac_interval_grid,False
BEC_e0.250,erasure_control,True,INDEPENDENT_ROWS__reduced__reduced,4,1.6225562489182659,0.8112781244591328,0.811278124459133,0.0625,1.0625,0.9125371587496606,0.9375,False,0.75,2,2.0,2.0,1.3333333333333333,True,7.074999999999999,13.075,26.55,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",1.75,1.75,0.75,independent_row_coupling,True
BEC_e0.250,erasure_control,True,COMMON_UNIFORM_000__reduced__reduced,2,0.8112781244591328,0.8112781244591328,0.0,0.25,1.25,0.6780719051126376,0.75,False,0.75,2,1.0,1.0,0.6666666666666666,True,5.0249999999999995,9.225,18.65,"[0, 1]","[0, 1]","[0, 1]",1.25,1.25,0.75,common_uniform,False
BEC_e0.250,erasure_control,True,COMMON_UNIFORM_001__reduced__reduced,3,1.5,0.8112781244591328,0.6887218755408672,0.0,1.0,1.0,1.0,False,0.75,2,1.75,2.0,1.0,True,8.0875,14.65,29.6,"[1, 0, 2]","[1, 0, 2]","[1, 0, 2]",2.25,1.625,0.75,common_uniform,False
