n,trial,agreement,fiber_wall,vt_linear_wall,fiber_over_vt_wall,fiber_histories,vt_candidate_checks
15,0,True,0.0001334759872406721,8.789007551968098e-06,15.186696160112323,26,13
15,1,True,0.00012490199878811836,6.031012162566185e-06,20.70995637570938,30,15
15,2,True,0.0001091130543500185,5.9889862313866615e-06,18.218952279133056,26,7
15,3,True,0.00011489295866340399,6.482936441898346e-06,17.722363884499355,28,13
15,4,True,0.00011181703303009272,5.859998054802418e-06,19.081411287919423,26,11
15,5,True,0.00010042998474091291,5.480949766933918e-06,18.323463817675922,24,9
15,6,True,0.00010726298205554485,5.707959644496441e-06,18.79182557973527,26,12
15,7,True,0.00013402500189840794,5.837995558977127e-06,22.957366196059663,30,9
15,8,True,0.00011684803757816553,5.680951289832592e-06,20.568392794934322,28,13
15,9,True,0.00011905899737030268,5.967915058135986e-06,19.949847846441948,24,12
15,10,True,0.00011625501792877913,5.663023330271244e-06,20.52879021482167,28,5
15,11,True,0.00011436198838055134,4.833098500967026e-06,23.66225069852587,28,1
15,12,True,0.00011321296915411949,5.534966476261616e-06,20.454138184877486,28,8
15,13,True,0.00011909601744264364,5.44404610991478e-06,21.87637926610213,30,13
15,14,True,8.9045031927526e-05,4.917965270578861e-06,18.106071724464435,18,3
15,15,True,0.00010872900020331144,5.417037755250931e-06,20.071671108054673,26,6
15,16,True,0.00010509707499295473,5.470006726682186e-06,19.213335603464788,26,9
15,17,True,0.00014593801461160183,6.044982001185417e-06,24.142009783152947,30,7
15,18,True,0.00010953901801258326,5.436944775283337e-06,20.147163993747725,30,15
15,19,True,0.00010907603427767754,4.958943463861942e-06,21.995821301969624,26,1
15,20,True,0.00011271703988313675,5.003996193408966e-06,22.52540480178671,28,2
15,21,True,0.00011649203952401876,5.6319404393434525e-06,20.684174624829467,30,11
15,22,True,0.00011356000322848558,5.532056093215942e-06,20.527630471380473,30,15
15,23,True,0.00011122203432023525,5.257083103060722e-06,21.15660569555782,28,7
15,24,True,0.00011464895214885473,5.537993274629116e-06,20.70225557587606,30,13
15,25,True,0.00010936206672340631,5.541020072996616e-06,19.736811143559468,28,11
15,26,True,0.00010142894461750984,5.61191700398922e-06,18.073849728249595,26,13
15,27,True,0.00013820501044392586,5.6300777941942215e-06,24.54762003225673,30,9
15,28,True,9.552901610732079e-05,5.11703547090292e-06,18.668820384484132,22,2
15,29,True,0.00010856403969228268,5.315989255905151e-06,20.422170637701473,28,9
15,30,True,0.00011896796058863401,5.9069134294986725e-06,20.140461174615687,30,12
15,31,True,0.00010515004396438599,5.1979441195726395e-06,20.2291601343785,26,12
15,32,True,7.561908569186926e-05,4.766043275594711e-06,15.866218856863703,16,2
15,33,True,0.00011370202992111444,4.593050107359886e-06,24.755233943326406,28,1
15,34,True,0.0001120719825848937,5.587004125118256e-06,20.059405734289047,30,13
15,35,True,0.00011945702135562897,5.226000212132931e-06,22.858212113786728,28,6
15,36,True,0.00010711699724197388,4.907022230327129e-06,21.82932789257669,26,4
15,37,True,0.00012081291060894728,5.593989044427872e-06,21.596915841172063,24,7
15,38,True,0.00010669301263988018,4.899920895695686e-06,21.774435732953197,26,3
15,39,True,0.0001027669059112668,5.559064447879791e-06,18.48636706315966,26,13
31,0,True,0.0003772780764847994,7.780035957694054e-06,48.49310190034416,58,22
31,1,True,0.00031476106960326433,7.863971404731274e-06,40.02571390504952,60,25
31,2,True,0.000362072023563087,8.906936272978783e-06,40.65056855313031,62,31
31,3,True,0.00032937503419816494,1.0780058801174164e-05,30.55410367170626,60,7
31,4,True,0.00035200791899114847,8.943956345319748e-06,39.357070338938925,60,20
31,5,True,0.00031971000134944916,8.467934094369411e-06,37.75537194627366,60,20
31,6,True,0.0003367259632796049,8.365022949874401e-06,40.254039384872314,60,24
31,7,True,0.000323103042319417,8.344999514520168e-06,38.718161907286245,60,19
31,8,True,0.00031122996006160975,8.110073395073414e-06,38.37572669202613,58,26
31,9,True,0.0003208999987691641,7.741968147456646e-06,41.44940829737004,60,9
31,10,True,0.0003355520311743021,7.795984856784344e-06,43.04164737855959,56,16
31,11,True,0.0003024190664291382,7.345923222601414e-06,41.16828576409249,54,4
31,12,True,0.0003338810056447983,7.426016964018345e-06,44.96098073335528,60,1
31,13,True,0.00032967596780508757,7.30506144464016e-06,45.12980079681275,58,2
31,14,True,0.00034512404818087816,7.360940799117088e-06,46.88586114186304,62,8
31,15,True,0.0003512260736897588,7.178983651101589e-06,48.924205815103704,62,2
31,16,True,0.00031599204521626234,8.545001037418842e-06,36.979755044209206,58,29
31,17,True,0.00033260497730225325,7.314025424420834e-06,45.47495503525554,62,8
31,18,True,0.00035044096875935793,8.485978469252586e-06,41.29647158888249,58,29
31,19,True,0.00032346497755497694,8.207978680729866e-06,39.40860352310442,62,30
31,20,True,0.00031101901549845934,8.309958502650261e-06,37.42726457650388,58,19
31,21,True,0.00032112596090883017,7.760012522339821e-06,41.382144678808245,62,22
31,22,True,0.00033553410321474075,6.932998076081276e-06,48.396682002888134,56,5
31,23,True,0.00028120900969952345,7.583992555737495e-06,37.07928345562276,52,12
31,24,True,0.00033546891063451767,8.403090760111809e-06,39.922085838574716,62,25
31,25,True,0.0003364250296726823,7.780967280268669e-06,43.236916125557315,58,14
31,26,True,0.0003300081007182598,7.3820119723677635e-06,44.70435728816767,60,4
31,27,True,0.00034065498039126396,7.465016096830368e-06,45.63352255005926,62,15
31,28,True,0.0003048550570383668,6.788061000406742e-06,44.91047694181001,58,7
31,29,True,0.0003250519512221217,7.700989954173565e-06,42.20911248507203,62,24
31,30,True,0.0004105999832972884,8.278992027044296e-06,49.59540750323415,60,21
31,31,True,0.0003520590253174305,7.992959581315517e-06,44.04614107400341,62,13
31,32,True,0.0003249350702390075,7.855938747525215e-06,41.36171127115379,60,21
31,33,True,0.0003012500237673521,7.772003300487995e-06,38.76092329353964,56,13
31,34,True,0.00037727109156548977,7.015070877969265e-06,53.780082643256605,62,1
31,35,True,0.00032159406691789627,7.2229886427521706e-06,44.5236844225965,60,8
31,36,True,0.00032324495259672403,8.870032615959644e-06,36.44236347171,58,26
31,37,True,0.00033092894591391087,8.18504486232996e-06,40.430926339444454,62,23
31,38,True,0.0003591779386624694,7.426016964018345e-06,48.367508504601105,62,3
31,39,True,0.00033676892053335905,7.681897841393948e-06,43.83928652613393,60,19
63,0,True,0.0012377469101920724,1.316005364060402e-05,94.05333321538517,122,7
63,1,True,0.001196588040329516,1.4291028492152691e-05,83.73001572186153,124,15
63,2,True,0.0012289849109947681,1.5349010936915874e-05,80.06932277564147,126,31
63,3,True,0.0011828650021925569,1.5572994016110897e-05,75.95617136748622,124,62
63,4,True,0.0011467889416962862,1.5426077879965305e-05,74.34092778603717,122,54
63,5,True,0.0011596749536693096,1.5276018530130386e-05,75.91473860691967,124,47
63,6,True,0.0012267070123925805,1.292605884373188e-05,94.9018588900697,126,12
63,7,True,0.001154855010099709,1.5188008546829224e-05,76.03728998037774,122,54
63,8,True,0.0012254100292921066,1.572398468852043e-05,77.93253768472177,126,38
63,9,True,0.0011523319408297539,1.325306948274374e-05,86.94830600036893,122,10
63,10,True,0.001143531990237534,1.452199649065733e-05,78.74481934858068,118,23
63,11,True,0.0011926940642297268,1.595192588865757e-05,74.76802942507261,120,56
63,12,True,0.0011214109836146235,1.435296144336462e-05,78.13098279679782,122,24
63,13,True,0.001096743973903358,1.4320947229862213e-05,76.58320055927685,120,40
63,14,True,0.0012134419521316886,1.4917110092937946e-05,81.34564567611228,122,53
63,15,True,0.0011939030373468995,1.6083940863609314e-05,74.22950926462073,126,54
63,16,True,0.0012542599579319358,1.555506605654955e-05,80.63353465502144,126,61
63,17,True,0.0011301690246909857,1.4635035768151283e-05,77.22352323528008,118,56
63,18,True,0.0011799850035458803,1.4546909369528294e-05,81.11585585441392,126,47
63,19,True,0.0011315889423713088,1.6308040358126163e-05,69.38840703858372,122,57
63,20,True,0.0011479939566925168,1.4860997907817364e-05,77.2487799146136,118,32
63,21,True,0.001241652062162757,1.3918033801019192e-05,89.21174354899419,126,18
63,22,True,0.001095292973332107,1.4927005395293236e-05,73.37660463882953,118,33
63,23,True,0.0012258599745109677,1.4232005923986435e-05,86.1340264371953,124,45
63,24,True,0.0012255050241947174,1.3921991921961308e-05,88.02655762653755,126,36
63,25,True,0.0009924559853971004,1.3442011550068855e-05,73.8324008799127,102,19
63,26,True,0.0011389339342713356,1.5015015378594398e-05,75.8529981857371,120,50
63,27,True,0.0011698700254783034,1.3514072634279728e-05,86.5668001895163,118,24
63,28,True,0.0012170129921287298,1.4138058759272099e-05,86.08062909135823,126,31
63,29,True,0.0011712859850376844,1.670501660555601e-05,70.11582285097042,124,62
63,30,True,0.0011796030448749661,1.4172983355820179e-05,83.22898681670705,122,34
63,31,True,0.001205227104946971,1.3652024790644646e-05,88.28193058753304,126,12
63,32,True,0.0011452619219198823,1.4647957868874073e-05,78.18577389231075,122,40
63,33,True,0.0011633009416982532,1.30069674924016e-05,89.43675321536934,118,5
63,34,True,0.0011539419647306204,1.5821075066924095e-05,72.93701343615253,124,49
63,35,True,0.0011849110014736652,1.5023979358375072e-05,78.86798651737631,124,35
63,36,True,0.0012338330270722508,1.3718032278120518e-05,89.94242046216384,126,5
63,37,True,0.0011973780347034335,1.3684970326721668e-05,87.49584442761989,122,26
63,38,True,0.0011042510159313679,1.4535966329276562e-05,75.9668116255416,114,17
63,39,True,0.0011266059009358287,1.4628982171416283e-05,77.0119129092327,114,41
127,0,True,0.004465178004465997,2.879102248698473e-05,155.08924722921967,252,117
127,1,True,0.004419583012349904,2.6132911443710327e-05,169.11942712045615,252,12
127,2,True,0.004466720041818917,2.4967011995613575e-05,178.90487025855035,254,23
127,3,True,0.004528759978711605,2.4766894057393074e-05,182.85538623522888,254,26
127,4,True,0.0045083980076014996,2.743594814091921e-05,164.32448350044342,254,73
127,5,True,0.004438219941221178,2.8562964871525764e-05,155.38372718602508,254,108
127,6,True,0.004313517012633383,3.0689057894051075e-05,140.55553701013213,242,118
127,7,True,0.004409356042742729,2.8274953365325928e-05,155.94565217391303,246,108
127,8,True,0.004353274940513074,2.5416025891900063e-05,171.28070922765457,250,52
127,9,True,0.004336048965342343,2.92330514639616e-05,148.32693640237346,246,114
127,10,True,0.004348418093286455,3.0179042369127274e-05,144.0873451218195,252,126
127,11,True,0.004452704102732241,2.5457004085183144e-05,174.91076671209197,250,16
127,12,True,0.004497622954659164,2.3720902390778065e-05,189.60589612339948,252,6
127,13,True,0.004382797982543707,2.711196430027485e-05,161.65549401004768,248,68
127,14,True,0.004396863980218768,2.5675049982964993e-05,171.25045455163752,252,28
127,15,True,0.004540145979262888,2.5343033485114574e-05,179.14769287305634,254,1
127,16,True,0.004404120030812919,2.6698922738432884e-05,164.95497117841478,250,39
127,17,True,0.00459204101935029,2.641999162733555e-05,173.80932909150195,254,50
127,18,True,0.004517578054219484,2.711301203817129e-05,166.62029463415473,252,44
127,19,True,0.004408454988151789,2.8360052965581417e-05,155.44593634934384,252,40
127,20,True,0.004409853019751608,2.5168992578983307e-05,175.20975485661424,254,34
127,21,True,0.004518700065091252,2.6282970793545246e-05,171.92501184839372,252,60
127,22,True,0.004424384911544621,3.0023977160453796e-05,147.36171986475588,250,66
127,23,True,0.0043876429554075,2.4667009711265564e-05,177.87494336630672,248,42
127,24,True,0.004495204077102244,2.46360432356596e-05,182.464531097901,254,15
127,25,True,0.004314827034249902,2.6902067475020885e-05,160.3901647431487,248,82
127,26,True,0.004419574048370123,2.7182046324014664e-05,162.59166052798383,250,75
127,27,True,0.004333652090281248,2.9396964237093925e-05,147.4183543351365,246,59
127,28,True,0.004362878971733153,2.5335000827908516e-05,172.20757170558664,246,50
127,29,True,0.004408870008774102,2.9208953492343426e-05,150.94241599343172,254,117
127,30,True,0.004552489961497486,2.5451998226344585e-05,178.86571895110941,250,6
127,31,True,0.00415476190391928,2.6446999981999397e-05,157.09766350614936,236,67
127,32,True,0.03975198499392718,3.058696165680885e-05,1299.6382393240465,252,60
127,33,True,0.004453546949662268,2.7450034394860268e-05,162.24194423946327,252,75
127,34,True,0.004467292921617627,2.9391027055680752e-05,151.9951280761446,252,106
127,35,True,0.004372616996988654,2.8009992092847824e-05,156.10918355472063,248,103
127,36,True,0.004486835096031427,2.7440953999757767e-05,163.5087138760203,254,66
127,37,True,0.0044378930469974875,2.959498669952154e-05,149.95421663998363,252,124
127,38,True,0.0044907910050824285,2.3055938072502613e-05,194.77806502431216,252,6
127,39,True,0.00451232201885432,2.5074928998947144e-05,179.9535312360719,254,8
