family,rate,p,predicted_typical_favorable,fiber_wall_log2_slope,best_wall_log2_slope,fiber_minus_best_slope
named_crc_linear,0.75,0.005,True,0.06808821977246828,0.01241382482533652,0.05567439494713176
named_crc_linear,0.75,0.01,True,0.06620070943452039,0.14927467812917808,-0.08307396869465769
named_crc_linear,0.75,0.02,True,0.3917080018206099,0.3003446750213292,0.09136332679928066
named_crc_linear,0.75,0.04,True,0.3815697495387433,0.21919428713917877,0.16237546239956452
named_crc_linear,0.875,0.005,True,0.07247481235365998,0.19119677037213365,-0.11872195801847367
named_crc_linear,0.875,0.01,True,0.06106771247376333,0.071677008872717,-0.010609296398953666
named_crc_linear,0.875,0.02,False,0.3762291352265987,0.30418319754203693,0.07204593768456174
named_crc_linear,0.875,0.04,False,0.07229917643682833,0.17995803917573439,-0.10765886273890606
random_linear,0.75,0.005,True,0.09673944969068074,0.17490436679444352,-0.07816491710376278
random_linear,0.75,0.01,True,0.07098288964117327,0.18491413737012183,-0.11393124772894855
random_linear,0.75,0.02,True,0.06491288903444678,0.03704822350729416,0.027864665527152617
random_linear,0.75,0.04,True,0.4016752422973463,0.20250803578468432,0.19916720651266198
random_linear,0.875,0.005,True,0.07145328772603945,0.16076540693510688,-0.08931211920906743
random_linear,0.875,0.01,True,0.07628544668344148,0.06772810586533604,0.008557340818105441
random_linear,0.875,0.02,False,0.07582758130977028,0.06934357713921664,0.006484004170553642
random_linear,0.875,0.04,False,0.3008508164162178,0.23797999715527737,0.06287081926094043
