n,trials,agreement_fraction,median_fiber_over_vt_wall,p95_fiber_over_vt_wall,median_fiber_histories,median_vt_candidate_checks
15,40,1.0,20.43815441128948,24.162290295608134,28.0,9.0
31,40,1.0,41.41577648808914,48.95776589951022,60.0,17.5
63,40,1.0,78.46529662044571,90.1479660998249,122.0,35.5
127,40,1.0,164.6397273394291,189.86450456844508,252.0,59.5
